"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1","1","1","1","","1.0"
"2","Bijan Robinson","ATL","5","RB1","2","3","5","2","","2.8"
"3","Saquon Barkley","PHI","9","RB2","3","2","2","4","","2.8"
"4","Jahmyr Gibbs","DET","8","RB3","5","5","6","3","","4.6"
"5","Justin Jefferson","MIN","6","WR2","4","4","4","6","","4.6"
"6","CeeDee Lamb","DAL","10","WR3","6","6","3","5","","5.2"
"7","Christian McCaffrey","SF","14","RB4","7","13","12","7","","9.2"
"8","Amon-Ra St. Brown","DET","8","WR4","8","7","9","11","","9.2"
"9","Puka Nacua","LAR","8","WR5","9","8","7","10","","9.4"
"10","Malik Nabers","NYG","14","WR6","11","9","10","9","","9.6"
"11","Derrick Henry","BAL","7","RB5","13","10","8","13","","10.4"
"12","Ashton Jeanty","LV","8","RB6","10","11","11","8","","10.4"
"13","De'Von Achane","MIA","12","RB7","12","15","13","12","","12.4"
"14","Nico Collins","HOU","6","WR7","14","12","16","16","","14.4"
"15","Brian Thomas Jr.","JAC","8","WR8","16","14","14","15","","14.8"
"16","Josh Jacobs","GB","5","RB8","18","20","17","14","","17.0"
"17","A.J. Brown","PHI","9","WR9","15","17","15","23","","17.4"
"18","Brock Bowers","LV","8","TE1","20","16","18","20","","18.8"
"19","Jonathan Taylor","IND","11","RB9","17","23","22","19","","19.8"
"20","Drake London","ATL","5","WR10","22","18","20","21","","20.0"
"21","Bucky Irving","TB","9","RB10","23","19","25","17","","21.8"
"22","Lamar Jackson","BAL","7","QB1","21","24","19","26","","22.4"
"23","Josh Allen","BUF","7","QB2","19","21","21","28","","23.0"
"24","Kyren Williams","LAR","8","RB11","26","28","24","22","","24.2"
"25","Ladd McConkey","LAC","12","WR11","30","22","23","27","","25.2"
"26","Trey McBride","ARI","8","TE2","24","25","26","29","","26.6"
"27","Chase Brown","CIN","10","RB12","33","29","34","18","","27.4"
"28","Tyreek Hill","MIA","12","WR12","28","27","37","25","","28.8"
"29","Jayden Daniels","WAS","12","QB3","25","31","27","33","","30.8"
"30","Tee Higgins","CIN","10","WR13","27","30","31","38","","30.8"
"31","James Cook","BUF","7","RB13","32","35","29","30","","31.2"
"32","Breece Hall","NYJ","9","RB14","49","33","30","24","","33.6"
"33","Jaxon Smith-Njigba","SEA","8","WR14","36","26","39","34","","34.0"
"34","Joe Burrow","CIN","10","QB4","31","40","35","40","","35.4"
"35","Garrett Wilson","NYJ","9","WR15","39","32","36","37","","36.2"
"36","Davante Adams","LAR","8","WR16","35","42","42","36","","37.8"
"37","Jalen Hurts","PHI","9","QB5","29","39","33","46","","38.0"
"38","Alvin Kamara","NO","11","RB15","37","41","46","31","","38.2"
"39","George Kittle","SF","14","TE3","34","38","38","42","","38.2"
"40","Terry McLaurin","WAS","12","WR17","40","34","28","44","","38.4"
"41","Kenneth Walker III","SEA","8","RB16","38","45","41","35","","38.4"
"42","Mike Evans","TB","9","WR18","42","37","32","50","","40.2"
"43","Marvin Harrison Jr.","ARI","8","WR19","45","36","43","41","","41.2"
"44","Omarion Hampton","LAC","12","RB17","48","44","50","32","","43.2"
"45","Chuba Hubbard","CAR","14","RB18","44","47","52","39","","45.4"
"46","James Conner","ARI","8","RB19","47","52","49","45","","47.4"
"47","DJ Moore","CHI","5","WR20","53","46","48","47","","48.4"
"48","Rashee Rice","KC","10","WR21","58","43","40","54","","48.8"
"49","DK Metcalf","PIT","5","WR22","43","48","58","52","","49.6"
"50","Sam LaPorta","DET","8","TE4","41","49","44","63","","51.4"
"51","Joe Mixon","HOU","6","RB20","51","51","47","59","","52.0"
"52","Courtland Sutton","DEN","12","WR23","59","50","55","51","","53.6"
"53","Patrick Mahomes II","KC","10","QB6","46","58","45","64","","54.0"
"54","D'Andre Swift","CHI","5","RB21","56","74","60","43","","56.8"
"55","DeVonta Smith","PHI","9","WR24","62","53","54","57","","56.8"
"56","Xavier Worthy","KC","10","WR25","50","55","66","65","","57.2"
"57","David Montgomery","DET","8","RB22","60","56","64","58","","59.4"
"58","TreVeyon Henderson","NE","14","RB23","73","65","67","48","","61.8"
"59","Jameson Williams","DET","8","WR26","65","60","53","67","","61.8"
"60","Zay Flowers","BAL","7","WR27","55","54","69","68","","61.8"
"61","T.J. Hockenson","MIN","6","TE5","54","57","51","74","","62.2"
"62","RJ Harvey","DEN","12","RB24","79","61","70","49","","62.8"
"63","Travis Kelce","KC","10","TE6","57","66","57","66","","62.8"
"64","Aaron Jones Sr.","MIN","6","RB25","66","69","74","56","","63.8"
"65","Travis Hunter","JAC","8","WR28","61","63","59","72","","64.2"
"66","Baker Mayfield","TB","9","QB7","52","68","61","77","","65.8"
"67","George Pickens","DAL","10","WR29","64","59","76","70","","66.0"
"68","Isiah Pacheco","KC","10","RB26","74","64","62","61","","66.8"
"69","Tetairoa McMillan","CAR","14","WR30","75","62","78","55","","67.0"
"70","Calvin Ridley","TEN","10","WR31","63","75","72","62","","68.8"
"71","Kaleb Johnson","PIT","5","RB27","72","81","80","53","","69.6"
"72","Tony Pollard","TEN","10","RB28","87","77","82","60","","74.6"
"73","Jaylen Waddle","MIA","12","WR32","67","67","86","78","","74.8"
"74","Mark Andrews","BAL","7","TE7","70","79","56","94","","75.4"
"75","Bo Nix","DEN","12","QB8","68","76","65","89","","75.6"
"76","Jerry Jeudy","CLE","9","WR33","69","73","101","69","","76.2"
"77","Chris Godwin","TB","9","WR34","90","78","84","76","","79.6"
"78","Chris Olave","NO","11","WR35","88","70","87","73","","80.2"
"79","Brian Robinson Jr.","WAS","12","RB29","92","83","91","75","","83.0"
"80","Jordan Addison","MIN","6","WR36","91","71","90","84","","83.4"
"81","Rome Odunze","CHI","5","WR37","76","80","93","90","","85.2"
"82","Kyler Murray","ARI","8","QB9","77","97","81","97","","87.2"
"83","Evan Engram","DEN","12","TE8","80","88","75","88","","87.4"
"84","Cooper Kupp","SEA","8","WR38","78","87","105","83","","88.2"
"85","David Njoku","CLE","9","TE9","71","94","85","110","","88.4"
"86","Deebo Samuel Sr.","WAS","12","WR39","99","86","98","80","","88.4"
"87","Stefon Diggs","NE","14","WR40","85","90","95","87","","89.2"
"88","Tyrone Tracy Jr.","NYG","14","RB30","97","85","106","71","","91.2"
"89","Jaylen Warren","PIT","5","RB31","102","92","109","79","","93.4"
"90","Jakobi Meyers","LV","8","WR41","86","82","124","101","","94.0"
"91","Cam Skattebo","NYG","14","RB32","98","100","97","82","","94.0"
"92","Quinshon Judkins","CLE","9","RB33","140","72","89","86","","94.6"
"93","Khalil Shakir","BUF","7","WR42","104","84","99","99","","96.8"
"94","Travis Etienne Jr.","JAC","8","RB34","122","93","114","81","","100.0"
"95","Jauan Jennings","SF","14","WR43","110","96","108","91","","100.0"
"96","Matthew Golden","GB","5","WR44","89","98","125","93","","101.2"
"97","Javonte Williams","DAL","10","RB35","94","106","141","85","","103.6"
"98","Jared Goff","DET","8","QB10","113","91","100","114","","105.4"
"99","Brandon Aubrey","DAL","10","K1","96","128","71","125","","106.0"
"100","Brock Purdy","SF","14","QB11","82","109","103","124","","106.0"
"101","Ricky Pearsall","SF","14","WR45","112","101","119","105","","106.2"
"102","Dak Prescott","DAL","10","QB12","100","121","120","107","","107.8"
"103","Justin Fields","NYJ","9","QB13","115","136","63","122","","108.8"
"104","Jayden Reed","GB","5","WR46","118","99","123","111","","110.2"
"105","Rhamondre Stevenson","NE","14","RB36","108","114","122","104","","110.6"
"106","Tyler Warren","IND","11","TE10","124","95","107","113","","112.6"
"107","Najee Harris","LAC","12","RB37","155","103","112","103","","113.8"
"108","Caleb Williams","CHI","5","QB14","120","118","111","102","","114.6"
"109","Denver Broncos","DST","12","DST1","84","153","83","138","","115.2"
