Player,Position,Team,Age,Model_Rank,Expert_Rank,Rank_Difference,Model_Points,Expert_Points,Points_Difference,Edge_Category,ADP,Expert_Tier,Expert_Pos_Rank,Pos_Rank_Difference
Lamar Jackson,QB,BAL,28.0,1,14.0,13.0,356.5,356.5,0.0,Slight Buy,18.3,1.0,1.0,
Josh Allen,QB,BUF,29.0,2,15.0,13.0,352.4,352.4,0.0,Slight Buy,17.9,2.0,2.0,
Baker Mayfield*,QB,TAM,29.0,5,61.0,56.0,340.5,288.0,52.5,Strong Buy,65.9,7.0,8.0,
Jayden Daniels,QB,WAS,25.0,6,20.0,14.0,338.6,338.6,0.0,Slight Buy,35.3,2.0,3.0,
Joe Burrow*,QB,CIN,28.0,7,38.0,31.0,334.8,317.2,17.6,Buy,32.1,4.0,5.0,
Sam Darnold*,QB,MIN,27.0,10,193.0,183.0,303.0,220.7,82.3,Strong Buy,153.5,16.0,26.0,
Saquon Barkley*+,RB,PHI,27.0,11,1.0,-10.0,294.0,271.2,22.8,Slight Fade,6.0,1.0,1.0,
Jared Goff*,QB,DET,30.0,12,105.0,93.0,293.5,262.9,30.6,Strong Buy,93.6,10.0,14.0,
Bijan Robinson*,RB,ATL,22.0,13,2.0,-11.0,290.8,259.7,31.1,Slight Fade,3.9,1.0,2.0,
Bo Nix,QB,DEN,24.0,15,65.0,50.0,275.4,286.0,-10.6,Strong Buy,75.8,7.0,9.0,
Ja'Marr Chase*+,WR,CIN,24.0,18,9.0,-9.0,267.9,230.3,37.6,Consensus,3.6,1.0,1.0,
Alvin Kamara,RB,NOR,29.0,19,23.0,4.0,264.8,181.9,82.9,Consensus,41.8,6.0,17.0,
Patrick Mahomes,QB,KAN,29.0,21,52.0,31.0,261.6,300.2,-38.6,Buy,43.5,5.0,6.0,
Jahmyr Gibbs*,RB,DET,22.0,24,4.0,-20.0,259.6,253.6,6.0,Fade,6.9,2.0,4.0,
Derrick Henry,RB,BAL,31.0,25,3.0,-22.0,259.3,259.3,0.0,Fade,11.2,1.0,3.0,
