Player,Position,Team,Age,Model_Rank,Expert_Rank,Rank_Difference,Model_Points,Expert_Points,Points_Difference,Edge_Category,ADP,Expert_Tier,Expert_Pos_Rank,Pos_Rank_Difference
Lamar Jackson*+,QB,BAL,27.0,1,14.0,13.0,360.5,356.5,4.0,Slight Buy,18.3,1.0,1.0,
Baker Mayfield*,QB,TAM,29.0,2,61.0,59.0,344.3,288.0,56.3,Strong Buy,65.9,7.0,8.0,
Joe Burrow*,QB,CIN,28.0,3,38.0,35.0,333.4,317.2,16.2,Buy,32.1,4.0,5.0,
Sam Darnold*,QB,MIN,27.0,4,193.0,189.0,301.5,220.7,80.8,Strong Buy,153.5,16.0,26.0,
Bijan Robinson*,RB,ATL,22.0,5,2.0,-3.0,299.4,259.7,39.7,Consensus,3.9,1.0,2.0,
Saquon Barkley*+,RB,PHI,27.0,6,1.0,-5.0,294.5,271.2,23.3,Consensus,6.0,1.0,1.0,
Josh Allen*,QB,BUF,28.0,7,15.0,8.0,292.0,352.4,-60.4,Consensus,17.9,2.0,2.0,
Jared Goff*,QB,DET,30.0,8,105.0,97.0,290.9,262.9,28.0,Strong Buy,93.6,10.0,14.0,
Jayden Daniels*,QB,WAS,24.0,9,20.0,11.0,287.2,338.6,-51.4,Slight Buy,35.3,2.0,3.0,
Jahmyr Gibbs*,RB,DET,22.0,10,4.0,-6.0,273.1,253.6,19.5,Consensus,6.9,2.0,4.0,
Derrick Henry*,RB,BAL,30.0,11,3.0,-8.0,269.6,259.3,10.3,Consensus,11.2,1.0,3.0,
Bo Nix,QB,DEN,24.0,12,65.0,53.0,268.2,286.0,-17.8,Strong Buy,75.8,7.0,9.0,
Ja'Marr Chase*+,WR,CIN,24.0,13,9.0,-4.0,264.1,230.3,33.8,Consensus,3.6,1.0,1.0,
Kyler Murray,QB,ARI,27.0,14,59.0,45.0,257.5,295.0,-37.5,Buy,69.9,6.0,7.0,
Patrick Mahomes,QB,KAN,29.0,15,52.0,37.0,253.1,300.2,-47.1,Buy,43.5,5.0,6.0,
Alvin Kamara,RB,NOR,29.0,16,23.0,7.0,252.5,181.9,70.6,Consensus,41.8,6.0,17.0,
Josh Jacobs*,RB,GNB,26.0,17,5.0,-12.0,251.1,230.5,20.6,Slight Fade,20.0,3.0,5.0,
Justin Herbert,QB,LAC,26.0,18,91.0,73.0,250.3,268.0,-17.7,Strong Buy,111.2,9.0,12.0,
Jalen Hurts,QB,PHI,26.0,19,21.0,2.0,248.3,338.6,-90.3,Consensus,30.8,3.0,4.0,
Aaron Jones,RB,MIN,30.0,20,39.0,19.0,247.3,161.7,85.6,Slight Buy,62.5,8.0,23.0,
Geno Smith,QB,SEA,34.0,21,156.0,135.0,246.2,238.6,7.6,Strong Buy,145.4,14.0,23.0,
Brock Purdy,QB,SFO,25.0,22,67.0,45.0,244.6,285.4,-40.8,Buy,91.0,8.0,10.0,
James Conner,RB,ARI,29.0,23,16.0,-7.0,243.9,193.1,50.8,Consensus,49.2,5.0,13.0,
Chase Brown,RB,CIN,24.0,24,17.0,-7.0,243.4,189.0,54.4,Consensus,43.3,6.0,14.0,
Joe Mixon*,RB,HOU,28.0,25,36.0,11.0,240.4,163.6,76.8,Slight Buy,58.2,8.0,22.0,
Puka Nacua,WR,LAR,23.0,26,26.0,0.0,239.3,189.0,50.3,Consensus,15.4,2.0,4.0,
Jonathan Taylor*,RB,IND,25.0,27,6.0,-21.0,238.4,223.8,14.6,Fade,18.2,3.0,6.0,
Caleb Williams,QB,CHI,23.0,28,109.0,81.0,238.2,262.7,-24.5,Strong Buy,96.9,11.0,15.0,
De'Von Achane,RB,MIA,23.0,29,8.0,-21.0,236.4,219.2,17.2,Fade,16.1,3.0,8.0,
Justin Jefferson*+,WR,MIN,25.0,30,18.0,-12.0,234.2,199.0,35.2,Slight Fade,7.4,1.0,2.0,
Trey McBride*,TE,ARI,25.0,31,34.0,3.0,232.7,138.9,93.8,Consensus,38.6,3.0,3.0,
Nico Collins*,WR,HOU,25.0,32,31.0,-1.0,230.0,183.1,46.9,Consensus,20.0,2.0,6.0,
C.J. Stroud,QB,HOU,23.0,33,127.0,94.0,229.9,253.1,-23.2,Strong Buy,100.7,11.0,16.0,
Bucky Irving,RB,TAM,22.0,34,12.0,-22.0,229.8,209.2,20.6,Fade,37.7,4.0,11.0,
Aaron Rodgers,QB,NYJ,41.0,35,202.0,167.0,229.4,216.6,12.8,Strong Buy,147.3,17.0,28.0,
Tee Higgins,WR,CIN,25.0,36,42.0,6.0,229.0,164.8,64.2,Consensus,42.0,4.0,11.0,
Kyren Williams,RB,LAR,24.0,37,10.0,-27.0,228.7,217.3,11.4,Fade,21.2,3.0,9.0,
Chuba Hubbard,RB,CAR,25.0,38,25.0,-13.0,226.1,179.9,46.2,Slight Fade,60.2,7.0,18.0,
A.J. Brown,WR,PHI,27.0,39,40.0,1.0,225.4,170.5,54.9,Consensus,23.1,4.0,9.0,
Jauan Jennings,WR,SFO,27.0,40,89.0,49.0,225.3,125.6,99.7,Buy,100.8,9.0,34.0,
D.J. Moore,WR,CHI,27.0,41,63.0,22.0,225.2,144.3,80.9,Buy,52.1,7.0,21.0,
Matthew Stafford,QB,LAR,36.0,42,148.0,106.0,224.7,242.1,-17.4,Strong Buy,146.4,13.0,21.0,
Jakobi Meyers,WR,LVR,28.0,43,87.0,44.0,224.1,126.9,97.2,Buy,104.9,9.0,32.0,
Jordan Love,QB,GNB,26.0,44,132.0,88.0,223.9,251.2,-27.3,Strong Buy,108.0,11.0,18.0,
DeVonta Smith,WR,PHI,26.0,45,75.0,30.0,219.9,137.0,82.9,Buy,55.7,8.0,28.0,
Gardner Minshew II,QB,LVR,28.0,46,,,218.7,,,No Expert Data,,,,
Rico Dowdle,RB,DAL,26.0,47,171.0,124.0,214.0,75.7,138.3,Strong Buy,153.2,15.0,53.0,
Tony Pollard,RB,TEN,27.0,48,43.0,-5.0,213.9,153.3,60.6,Consensus,76.4,9.0,24.0,
Justin Fields,QB,PIT,25.0,49,77.0,28.0,213.4,279.4,-66.0,Buy,96.9,9.0,11.0,
Tyreek Hill,WR,MIA,30.0,50,50.0,0.0,213.3,161.9,51.4,Consensus,32.2,6.0,16.0,
D'Andre Swift,RB,CHI,25.0,51,33.0,-18.0,212.6,165.9,46.7,Slight Fade,62.4,7.0,20.0,
Zay Flowers*,WR,BAL,24.0,52,71.0,19.0,212.0,141.4,70.6,Slight Buy,67.8,7.0,25.0,
Travis Kelce*,TE,KAN,35.0,53,70.0,17.0,211.1,103.9,107.2,Slight Buy,66.8,4.0,6.0,
CeeDee Lamb*,WR,DAL,25.0,54,24.0,-30.0,210.5,192.5,18.0,Fade,8.0,2.0,3.0,
Malik Nabers*,WR,NYG,21.0,55,32.0,-23.0,210.0,182.5,27.5,Fade,21.1,3.0,7.0,
Breece Hall,RB,NYJ,23.0,56,19.0,-37.0,210.0,185.6,24.4,Fade,26.5,6.0,15.0,
Jonnu Smith*,TE,MIA,29.0,57,114.0,57.0,209.4,79.2,130.2,Strong Buy,125.6,8.0,20.0,
Najee Harris,RB,PIT,26.0,58,95.0,37.0,209.3,112.4,96.9,Buy,105.0,12.0,36.0,
Davante Adams,WR,2TM,32.0,59,46.0,-13.0,209.0,163.6,45.4,Slight Fade,40.4,5.0,14.0,
James Cook*,RB,BUF,25.0,60,13.0,-47.0,208.5,205.0,3.5,Fade,33.5,5.0,12.0,
Jaxon Smith-Njigba*,WR,SEA,22.0,61,62.0,1.0,207.1,144.8,62.3,Consensus,53.5,7.0,20.0,
Drake London,WR,ATL,23.0,62,44.0,-18.0,207.0,164.5,42.5,Slight Fade,25.1,4.0,12.0,
Amon-Ra St. Brown*+,WR,DET,25.0,63,37.0,-26.0,206.7,174.7,32.0,Fade,14.9,4.0,8.0,
Mac Jones,QB,JAX,26.0,64,550.0,486.0,204.8,10.6,194.2,Strong Buy,,27.0,50.0,
J.K. Dobbins,RB,LAC,26.0,65,86.0,21.0,202.5,116.7,85.8,Buy,110.0,12.0,34.0,
Wan'Dale Robinson,WR,NYG,23.0,66,185.0,119.0,201.5,80.8,120.7,Strong Buy,172.4,14.0,66.0,
Jordan Addison,WR,MIN,22.0,67,100.0,33.0,200.4,121.2,79.2,Buy,92.2,9.0,39.0,
Brock Bowers*+,TE,LVR,22.0,68,28.0,-40.0,199.9,147.7,52.2,Fade,40.7,2.0,2.0,
Ladd McConkey,WR,LAC,23.0,69,41.0,-28.0,199.7,168.8,30.9,Fade,43.5,4.0,10.0,
Courtland Sutton,WR,DEN,29.0,70,68.0,-2.0,198.0,142.2,55.8,Consensus,68.5,7.0,23.0,
Josh Downs,WR,IND,23.0,71,149.0,78.0,196.6,98.4,98.2,Strong Buy,124.7,12.0,55.0,
Brian Thomas*,WR,JAX,22.0,72,,,196.4,,,No Expert Data,,,,
Jerry Jeudy*,WR,CLE,25.0,73,79.0,6.0,195.6,132.2,63.4,Consensus,94.8,8.0,29.0,
David Montgomery,RB,DET,27.0,74,35.0,-39.0,193.5,165.3,28.2,Fade,59.7,8.0,21.0,
Keenan Allen,WR,CHI,32.0,75,,,193.4,,,No Expert Data,,,,
Garrett Wilson,WR,NYJ,24.0,76,74.0,-2.0,192.7,138.3,54.4,Consensus,40.4,7.0,27.0,
Terry McLaurin*,WR,WAS,29.0,77,48.0,-29.0,192.6,162.0,30.6,Fade,49.0,5.0,15.0,
Marvin Harrison Jr.,WR,ARI,22.0,78,53.0,-25.0,192.5,154.2,38.3,Fade,37.5,6.0,17.0,
Mike Evans*,WR,TAM,31.0,79,45.0,-34.0,192.5,164.1,28.4,Fade,38.7,4.0,13.0,
Deshaun Watson,QB,CLE,29.0,80,577.0,497.0,191.2,5.7,185.5,Strong Buy,,28.0,77.0,
George Kittle*,TE,SFO,31.0,81,27.0,-54.0,190.7,150.5,40.2,Strong Fade,44.1,1.0,1.0,
Aidan O'Connell,QB,LVR,26.0,82,547.0,465.0,189.7,11.1,178.6,Strong Buy,,27.0,47.0,
D.K. Metcalf,WR,SEA,27.0,83,,,189.6,,,No Expert Data,,,,
Kirk Cousins,QB,ATL,36.0,84,580.0,496.0,187.9,4.0,183.9,Strong Buy,184.4,28.0,80.0,
Cooper Kupp,WR,LAR,31.0,85,123.0,38.0,187.4,111.2,76.2,Buy,93.8,10.0,48.0,
Mason Rudolph,QB,TEN,29.0,86,551.0,465.0,186.3,10.3,176.0,Strong Buy,,27.0,51.0,
Javonte Williams,RB,DEN,24.0,87,82.0,-5.0,186.0,118.8,67.2,Consensus,110.7,11.0,32.0,
Khalil Shakir,WR,BUF,24.0,88,129.0,41.0,185.8,109.5,76.3,Buy,111.9,11.0,50.0,
Darnell Mooney,WR,ATL,27.0,89,119.0,30.0,185.7,112.6,73.1,Buy,135.2,10.0,45.0,
Rhamondre Stevenson,RB,NWE,26.0,90,83.0,-7.0,185.5,117.7,67.8,Consensus,107.1,11.0,33.0,
Tyrone Tracy Jr.,RB,NYG,25.0,91,,,184.8,,,No Expert Data,,,,
Calvin Ridley,WR,TEN,30.0,92,69.0,-23.0,184.7,141.9,42.8,Fade,74.6,7.0,24.0,
David Njoku,TE,CLE,28.0,93,78.0,-15.0,181.8,98.2,83.6,Slight Fade,101.6,5.0,8.0,
Jameson Williams,WR,DET,23.0,94,66.0,-28.0,179.5,142.7,36.8,Fade,73.5,7.0,22.0,
Kenneth Walker III,RB,SEA,24.0,95,22.0,-73.0,178.6,182.7,-4.1,Strong Fade,41.4,6.0,16.0,
Jayden Reed,WR,GNB,24.0,96,96.0,0.0,178.1,123.2,54.9,Consensus,101.2,9.0,37.0,
Michael Pittman Jr.,WR,IND,27.0,97,,,176.8,,,No Expert Data,,,,
