Year,Position,Players,MAE,Pearson,Spearman,Top20_Hit_Rate
2010,QB,62,49.645161346034186,0.7479015654515785,0.6566434983649041,0.8
2010,RB,101,54.315815761905945,0.5588323836879138,0.5796264964679239,0.5
2010,WR,135,45.929676250382094,0.6873875205275657,0.7192694291366094,0.45
2010,TE,78,29.516318584735956,0.7505049896171451,0.7395922909605949,0.6
2011,QB,61,67.97334744342027,0.616924680246394,0.6138611245469352,0.6
2011,RB,100,46.141217296008826,0.7251949520347244,0.7071989631028198,0.6
2011,WR,153,48.357818879280096,0.6364054595309621,0.6238799393974048,0.5
2011,TE,83,39.86246108089989,0.6137162254588517,0.6210399819565887,0.55
2012,QB,54,51.32208195105599,0.8166953738319764,0.7856448571058482,0.7
2012,RB,102,45.2921870180603,0.6389953273044424,0.6527396098492818,0.6
2012,WR,151,49.35005651202503,0.6991355476509948,0.6583303633639801,0.5
2012,TE,76,40.28137775135277,0.642033447366114,0.6572748773052264,0.7
2013,QB,54,59.78452639276999,0.7463625737677333,0.7616070747884425,0.75
2013,RB,112,51.12129772483278,0.6507406692686529,0.6529466911269269,0.55
2013,WR,145,51.45281189880873,0.6759015719652194,0.6585038699884371,0.45
2013,TE,81,37.98200553586846,0.6182123294711773,0.6518248343773734,0.6
2014,QB,55,49.404059569808666,0.8442094801070877,0.7726329841261264,0.85
2014,RB,114,47.14380919186502,0.6014575237746614,0.5964252879466879,0.6
2014,WR,142,51.504924617933305,0.7003952443900406,0.6738825432809322,0.5
2014,TE,83,35.07696889659187,0.6665054563437663,0.664070742276385,0.7
2015,QB,60,66.22952432210107,0.6645366467240016,0.6685190330647404,0.75
2015,RB,115,50.7133861851594,0.44942628507930116,0.5131885496137547,0.4
2015,WR,149,46.539516246955216,0.7525087363788501,0.7374482357168994,0.5
2015,TE,89,40.46595822053078,0.5750512456913809,0.6287815591232074,0.5
2016,QB,53,47.431609295151155,0.8472187482199977,0.7806559559713024,0.8
2016,RB,125,54.22672884747254,0.511088556746239,0.5544937426873284,0.4
2016,WR,148,49.85558253721321,0.6519446448084155,0.6310333147721348,0.45
2016,TE,78,43.91730982736088,0.5481419181679937,0.5677955385147223,0.65
2017,QB,59,53.1975172435795,0.7369695250347431,0.7399982469041376,0.7
2017,RB,113,40.871640441753456,0.6901535494802893,0.6424740965375255,0.75
2017,WR,158,41.31096589993821,0.6997004083435125,0.6864412645461045,0.6
2017,TE,81,33.3914205302329,0.6546517656407351,0.6090697623450764,0.6
2018,QB,51,61.65969531666849,0.7189221572765564,0.6857013574660632,0.75
2018,RB,106,52.25566279360398,0.6461742522797562,0.6347747666369223,0.45
2018,WR,154,47.29204531758815,0.7514180416779914,0.6940187060301386,0.65
2018,TE,88,38.28634151669723,0.5872191430310483,0.44294205707951967,0.5
2019,QB,50,68.56744561252982,0.6089861276143758,0.5948087512730731,0.7
2019,RB,103,51.71365068116211,0.689653890895593,0.6650265647319967,0.5
2019,WR,159,46.21674380947224,0.6720866749572463,0.6674000936090904,0.45
2019,TE,91,33.32895379305236,0.6423739312699307,0.5565726344686438,0.6
2020,QB,58,70.5353781261004,0.7063695737401268,0.6867136322099917,0.7
2020,RB,114,47.39311355645023,0.6225205412340822,0.6424020769500722,0.55
2020,WR,171,47.15932061628645,0.6830342749769072,0.7015866387327095,0.5
2020,TE,88,36.01459351063907,0.62204136257126,0.5376182174448167,0.6
2021,QB,60,58.81781204305799,0.7963097852121398,0.7362074002254563,0.75
2021,RB,115,45.57171043714363,0.6995291844859837,0.6777151988335555,0.65
2021,WR,184,43.32466415802162,0.7006411234030376,0.6731817074223738,0.55
2021,TE,92,32.92200572160041,0.7385616049086969,0.6912578416070727,0.65
2022,QB,68,58.78064834549583,0.7376509360396277,0.7398245965962393,0.65
2022,RB,115,47.49331570997226,0.6937314923863065,0.677598107788879,0.65
2022,WR,181,41.22965293224557,0.7698789213968352,0.7184505610694946,0.6
2022,TE,91,28.213047488334762,0.7752073089209222,0.6682912075413227,0.75
2023,QB,63,63.31626344506452,0.6657071500969665,0.6528897849462366,0.65
2023,RB,105,53.36979119558489,0.6217778796617766,0.621384436883245,0.45
2023,WR,157,37.28332182291132,0.826205903205997,0.7753513248859365,0.55
2023,TE,91,30.24968460352399,0.708375074159909,0.6690980905147104,0.55
2024,QB,63,69.38540352466886,0.6432086639222641,0.5831483193142578,0.7
2024,RB,101,50.36185292084108,0.7161004330027413,0.7421825403884779,0.7
2024,WR,166,43.73043069119018,0.7358390790359959,0.7243821399609675,0.55
2024,TE,93,31.271057698061085,0.7472439936103321,0.7131693306674042,0.7
2025,QB,62,62.05553665439054,0.7080213962884875,0.6749096587080108,0.65
2025,RB,99,50.59680110557957,0.7459756017952641,0.7563953902186016,0.65
2025,WR,173,38.63111015756768,0.7576272414303538,0.7664843585966683,0.5
2025,TE,105,28.23498442491963,0.7640112975200313,0.6732688151676872,0.65
