Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Kurt Warner,30.0,STL,QB,16.0,16.0,14-2-0,375.0,546.0,68.7,4830.0,36.0,6.6,22.0,4.0,233.0,53.8,65.0,8.8,8.35,12.9,301.9,101.4,38.0,233.0,6.51,7.87,7.41,1.0,2.0,"PB,AP-1,AP MVP-1,AP OPoY-2"
2.0,Peyton Manning,25.0,IND,QB,16.0,16.0,6-10-0,343.0,547.0,62.7,4131.0,26.0,4.8,23.0,4.2,201.0,46.4,86.0,7.6,6.61,12.0,258.2,84.1,29.0,232.0,5.03,6.77,5.88,0.0,0.0,
3.0,Brett Favre,32.0,GNB,QB,16.0,16.0,12-4-0,314.0,510.0,61.6,3921.0,32.0,6.3,15.0,2.9,187.0,47.0,67.0,7.7,7.62,12.5,245.1,94.1,22.0,151.0,4.14,7.09,7.02,1.0,2.0,"PB,AP-2,AP MVP-3,AP OPoY-3"
4.0,Aaron Brooks,25.0,NOR,QB,16.0,16.0,7-9-0,312.0,558.0,55.9,3832.0,26.0,4.7,22.0,3.9,182.0,40.3,63.0,6.9,6.03,12.3,239.5,76.4,50.0,330.0,8.22,5.76,4.99,2.0,3.0,
5.0,Rich Gannon,36.0,OAK,QB,16.0,16.0,10-6-0,361.0,549.0,65.8,3828.0,27.0,4.9,9.0,1.6,195.0,49.8,49.0,7.0,7.22,10.6,239.3,95.5,27.0,155.0,4.69,6.38,6.61,1.0,2.0,PB
6.0,Trent Green,31.0,KAN,QB,16.0,16.0,6-10-0,296.0,523.0,56.6,3783.0,17.0,3.3,24.0,4.6,176.0,42.2,67.0,7.2,5.82,12.8,236.4,71.1,39.0,198.0,6.94,6.38,5.06,2.0,3.0,
7.0,Kerry Collins,29.0,NYG,QB,16.0,16.0,7-9-0,327.0,568.0,57.6,3764.0,19.0,3.3,16.0,2.8,189.0,43.5,76.0,6.6,6.03,11.5,235.3,77.1,36.0,206.0,5.96,5.89,5.33,3.0,4.0,
8.0,Jake Plummer,27.0,ARI,QB,16.0,16.0,7-9-0,304.0,525.0,57.9,3653.0,18.0,3.4,14.0,2.7,177.0,39.9,68.0,7.0,6.44,12.0,228.3,79.6,29.0,204.0,5.23,6.23,5.74,3.0,4.0,
9.0,Jeff Garcia,31.0,SFO,QB,16.0,16.0,12-4-0,316.0,504.0,62.7,3538.0,32.0,6.3,12.0,2.4,184.0,48.5,61.0,7.0,7.22,11.2,221.1,94.8,26.0,114.0,4.91,6.46,6.65,4.0,4.0,PB
10.0,Doug Flutie,39.0,SDG,QB,16.0,16.0,5-11-0,294.0,521.0,56.4,3464.0,15.0,2.9,18.0,3.5,168.0,42.9,78.0,6.6,5.67,11.8,216.5,72.0,25.0,168.0,4.58,6.04,5.1,1.0,1.0,
11.0,Brad Johnson,33.0,TAM,QB,16.0,16.0,9-7-0,340.0,559.0,60.8,3406.0,13.0,2.3,11.0,2.0,181.0,42.5,47.0,6.1,5.67,10.0,212.9,77.7,44.0,269.0,7.3,5.2,4.81,3.0,5.0,
12.0,Steve McNair,28.0,TEN,QB,15.0,15.0,7-8-0,264.0,431.0,61.3,3350.0,21.0,4.9,12.0,2.8,161.0,47.0,71.0,7.8,7.49,12.7,223.3,90.2,37.0,251.0,7.91,6.62,6.37,1.0,4.0,
13.0,Mark Brunell,31.0,JAX,QB,15.0,15.0,6-9-0,289.0,473.0,61.1,3309.0,19.0,4.0,13.0,2.7,165.0,44.3,44.0,7.0,6.56,11.4,220.6,84.1,57.0,387.0,10.75,5.51,5.13,1.0,1.0,
14.0,Jay Fiedler,30.0,MIA,QB,16.0,16.0,11-5-0,273.0,450.0,60.7,3290.0,20.0,4.4,19.0,4.2,152.0,46.1,74.0,7.3,6.3,12.1,205.6,80.3,27.0,178.0,5.66,6.52,5.57,4.0,4.0,
15.0,Donovan McNabb,25.0,PHI,QB,16.0,16.0,11-5-0,285.0,493.0,57.8,3233.0,25.0,5.1,12.0,2.4,134.0,40.0,64.0,6.6,6.48,11.3,202.1,84.3,39.0,273.0,7.33,5.56,5.49,2.0,2.0,PB
16.0,Jon Kitna,29.0,CIN,QB,16.0,15.0,6-9-0,313.0,581.0,53.9,3216.0,12.0,2.1,22.0,3.8,172.0,40.9,49.0,5.5,4.24,10.3,201.0,61.1,25.0,185.0,4.13,5.0,3.76,3.0,3.0,
17.0,Kordell Stewart,29.0,PIT,QB,16.0,16.0,13-3-0,266.0,442.0,60.2,3109.0,14.0,3.2,11.0,2.5,147.0,43.5,90.0,7.0,6.55,11.7,194.3,81.7,29.0,175.0,6.16,6.23,5.77,1.0,1.0,"PB,AP MVP-4,AP CPoY-2"
18.0,Tim Couch,24.0,CLE,QB,16.0,16.0,7-9-0,272.0,454.0,59.9,3040.0,17.0,3.7,21.0,4.6,135.0,38.4,78.0,6.7,5.36,11.2,190.0,73.1,51.0,353.0,10.1,5.32,4.12,3.0,3.0,
19.0,Elvis Grbac,31.0,BAL,QB,14.0,14.0,8-6-0,265.0,467.0,56.7,3033.0,15.0,3.2,18.0,3.9,151.0,43.2,77.0,6.5,5.4,11.4,216.6,71.1,28.0,215.0,5.66,5.69,4.66,2.0,4.0,
20.0,Chris Weinke,29.0,CAR,QB,15.0,15.0,1-14-0,293.0,540.0,54.3,2931.0,11.0,2.0,19.0,3.5,138.0,38.2,48.0,5.4,4.25,10.0,195.4,62.0,26.0,177.0,4.59,4.87,3.74,0.0,0.0,
21.0,Chris Chandler,36.0,ATL,QB,14.0,14.0,6-8-0,223.0,365.0,61.1,2847.0,16.0,4.4,14.0,3.8,128.0,43.1,94.0,7.8,6.95,12.8,203.4,84.1,41.0,261.0,10.1,6.37,5.61,0.0,2.0,
22.0,Tom Brady,24.0,NWE,QB,15.0,14.0,11-3-0,264.0,413.0,63.9,2843.0,18.0,4.4,12.0,2.9,145.0,45.6,91.0,6.9,6.45,10.8,189.5,86.5,41.0,216.0,9.03,5.79,5.39,3.0,3.0,PB
23.0,Brian Griese,26.0,DEN,QB,15.0,15.0,8-7-0,275.0,451.0,61.0,2827.0,23.0,5.1,19.0,4.2,150.0,44.4,65.0,6.3,5.39,10.3,188.5,78.5,38.0,241.0,7.77,5.29,4.48,1.0,1.0,
24.0,Vinny Testaverde,38.0,NYJ,QB,16.0,16.0,10-6-0,260.0,441.0,59.0,2752.0,15.0,3.4,14.0,3.2,147.0,42.0,40.0,6.2,5.49,10.6,172.0,75.3,18.0,122.0,3.92,5.73,5.01,5.0,5.0,
25.0,Daunte Culpepper,24.0,MIN,QB,11.0,11.0,4-7-0,235.0,366.0,64.2,2612.0,14.0,3.8,13.0,3.6,127.0,46.6,57.0,7.1,6.3,11.1,237.5,83.3,33.0,186.0,8.27,6.08,5.32,2.0,2.0,
26.0,Charlie Batch,27.0,DET,QB,10.0,9.0,0-9-0,198.0,341.0,58.1,2392.0,12.0,3.5,12.0,3.5,108.0,43.0,76.0,7.0,6.13,12.1,239.2,76.8,33.0,176.0,8.82,5.93,5.12,0.0,0.0,
27.0,Tony Banks,28.0,WAS,QB,15.0,14.0,8-6-0,198.0,370.0,53.5,2386.0,10.0,2.7,10.0,2.7,106.0,38.6,85.0,6.4,5.77,12.1,159.1,71.3,29.0,173.0,7.27,5.55,4.92,1.0,1.0,
28.0,Jim Miller,30.0,CHI,QB,14.0,13.0,11-2-0,228.0,395.0,57.7,2299.0,13.0,3.3,10.0,2.5,106.0,40.4,66.0,5.8,5.34,10.1,164.2,74.9,11.0,72.0,2.71,5.49,5.02,3.0,3.0,
29.0,Alex Van Pelt,31.0,BUF,QB,12.0,8.0,2-6-0,178.0,307.0,58.0,2056.0,12.0,3.9,11.0,3.6,99.0,43.0,80.0,6.7,5.87,11.6,171.3,76.4,14.0,73.0,4.36,6.18,5.38,1.0,1.0,
30.0,Matt Hasselbeck,26.0,SEA,QB,13.0,12.0,5-7-0,176.0,321.0,54.8,2023.0,7.0,2.2,8.0,2.5,92.0,37.3,64.0,6.3,5.62,11.5,155.6,70.9,38.0,251.0,10.58,4.94,4.32,0.0,2.0,
31.0,Rob Johnson,28.0,BUF,QB,8.0,8.0,1-7-0,134.0,216.0,62.0,1465.0,5.0,2.3,7.0,3.2,71.0,38.1,61.0,6.8,5.79,10.9,183.1,76.3,31.0,196.0,12.55,5.14,4.27,0.0,1.0,
32.0,Quincy Carter,24.0,DAL,QB,8.0,8.0,3-5-0,90.0,176.0,51.1,1072.0,5.0,2.8,7.0,4.0,46.0,35.1,64.0,6.1,4.87,11.9,134.0,63.0,12.0,56.0,6.38,5.4,4.26,0.0,2.0,
33.0,Trent Dilfer,29.0,SEA,QB,6.0,4.0,4-0-0,73.0,122.0,59.8,1014.0,7.0,5.7,4.0,3.3,43.0,42.4,54.0,8.3,7.98,13.9,169.0,92.0,10.0,72.0,7.58,7.14,6.83,0.0,0.0,
34.0,Ty Detmer,34.0,DET,QB,4.0,4.0,1-3-0,92.0,151.0,60.9,906.0,3.0,2.0,10.0,6.6,43.0,42.3,27.0,6.0,3.42,9.8,226.5,56.9,12.0,75.0,7.36,5.1,2.71,1.0,1.0,
35.0,Todd Bouman,29.0,MIN,QB,5.0,3.0,1-2-0,51.0,89.0,57.3,795.0,8.0,9.0,4.0,4.5,32.0,48.4,80.0,8.9,8.71,15.6,159.0,98.3,4.0,27.0,4.3,8.26,8.04,0.0,0.0,
36.0,Michael Vick,21.0,ATL,QB,8.0,2.0,1-1-0,50.0,113.0,44.2,785.0,2.0,1.8,3.0,2.7,34.0,34.3,52.0,6.9,6.11,15.7,98.1,62.7,21.0,113.0,15.67,5.01,4.31,0.0,0.0,
