Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards
1.0,Peyton Manning,27.0,IND,QB,16.0,16.0,12-4-0,379.0,566.0,67.0,4267.0,29.0,5.1,10.0,1.8,213.0,51.0,79.0,7.5,7.77,11.3,266.7,99.0,,18.0,107.0,3.08,7.12,7.35,3.0,4.0,"PB,AP-1,AP MVP-1,AP OPoY-3"
2.0,Trent Green,33.0,KAN,QB,16.0,16.0,13-3-0,330.0,523.0,63.1,4039.0,24.0,4.6,12.0,2.3,198.0,47.3,67.0,7.7,7.61,12.2,252.4,92.6,,20.0,130.0,3.68,7.2,7.09,1.0,2.0,PB
3.0,Marc Bulger,26.0,STL,QB,15.0,15.0,12-3-0,336.0,532.0,63.2,3845.0,22.0,4.1,22.0,4.1,193.0,46.9,48.0,7.2,6.19,11.4,256.3,81.4,,37.0,288.0,6.5,6.25,5.28,4.0,4.0,PB
4.0,Matt Hasselbeck,28.0,SEA,QB,16.0,16.0,10-6-0,313.0,513.0,61.0,3841.0,26.0,5.1,15.0,2.9,189.0,48.3,80.0,7.5,7.19,12.3,240.1,88.8,,42.0,246.0,7.57,6.48,6.2,2.0,3.0,PB
5.0,Brad Johnson,35.0,TAM,QB,16.0,16.0,7-9-0,354.0,570.0,62.1,3811.0,26.0,4.6,21.0,3.7,188.0,45.8,76.0,6.7,5.94,10.8,238.2,81.5,,20.0,111.0,3.39,6.27,5.55,0.0,0.0,
6.0,Tom Brady,26.0,NWE,QB,16.0,16.0,14-2-0,317.0,527.0,60.2,3620.0,23.0,4.4,12.0,2.3,175.0,43.1,82.0,6.9,6.72,11.4,226.3,85.9,,32.0,219.0,5.72,6.08,5.94,3.0,5.0,AP MVP-3
7.0,Jon Kitna,31.0,CIN,QB,16.0,16.0,8-8-0,324.0,520.0,62.3,3591.0,26.0,5.0,15.0,2.9,184.0,46.7,82.0,6.9,6.61,11.1,224.4,87.4,,37.0,249.0,6.64,6.0,5.72,3.0,3.0,AP CPoY-1
8.0,Aaron Brooks,27.0,NOR,QB,16.0,16.0,8-8-0,306.0,518.0,59.1,3546.0,24.0,4.6,8.0,1.5,174.0,44.0,76.0,6.8,7.08,11.6,221.6,88.8,,34.0,195.0,6.16,6.07,6.29,2.0,3.0,
9.0,Daunte Culpepper,26.0,MIN,QB,14.0,14.0,7-7-0,295.0,454.0,65.0,3479.0,25.0,5.5,11.0,2.4,171.0,49.3,59.0,7.7,7.67,11.8,248.5,96.4,,37.0,196.0,7.54,6.69,6.7,0.0,1.0,"PB,AP CPoY-8"
10.0,Tommy Maddox,32.0,PIT,QB,16.0,16.0,6-10-0,298.0,519.0,57.4,3414.0,18.0,3.5,17.0,3.3,170.0,42.7,53.0,6.6,5.8,11.5,213.4,75.3,,41.0,242.0,7.32,5.66,4.94,0.0,0.0,
11.0,Brett Favre,34.0,GNB,QB,16.0,16.0,10-6-0,308.0,471.0,65.4,3361.0,32.0,6.8,21.0,4.5,168.0,49.0,66.0,7.1,6.49,10.9,210.1,90.4,,19.0,137.0,3.88,6.58,5.96,1.0,3.0,PB
12.0,Quincy Carter,26.0,DAL,QB,16.0,16.0,10-6-0,292.0,505.0,57.8,3302.0,17.0,3.4,21.0,4.2,148.0,39.1,64.0,6.5,5.34,11.3,206.4,71.4,100.0,37.0,185.0,6.83,5.75,4.63,2.0,2.0,AP CPoY-2
13.0,Jake Delhomme,28.0,CAR,QB,16.0,15.0,10-5-0,266.0,449.0,59.2,3219.0,19.0,4.2,16.0,3.6,147.0,43.9,67.0,7.2,6.41,12.1,201.2,80.6,,23.0,168.0,4.87,6.46,5.74,5.0,7.0,
14.0,Donovan McNabb,27.0,PHI,QB,16.0,16.0,12-4-0,275.0,478.0,57.5,3216.0,16.0,3.3,11.0,2.3,153.0,40.7,59.0,6.7,6.36,11.7,201.0,79.6,,43.0,253.0,8.25,5.69,5.35,2.0,4.0,PB
15.0,Steve McNair,30.0,TEN,QB,14.0,14.0,10-4-0,250.0,400.0,62.5,3215.0,24.0,6.0,7.0,1.8,165.0,48.4,73.0,8.0,8.45,12.9,229.6,100.4,,19.0,108.0,4.53,7.42,7.81,1.0,1.0,"PB,AP-2,AP MVP-1,AP OPoY-5"
16.0,Kerry Collins,31.0,NYG,QB,13.0,13.0,4-9-0,284.0,500.0,56.8,3110.0,13.0,2.6,16.0,3.2,158.0,44.7,77.0,6.2,5.3,11.0,239.2,70.7,,28.0,164.0,5.3,5.58,4.71,1.0,3.0,
17.0,Joey Harrington,25.0,DET,QB,16.0,16.0,5-11-0,309.0,554.0,55.8,2880.0,17.0,3.1,22.0,4.0,149.0,38.4,72.0,5.2,4.03,9.3,180.0,63.9,,9.0,55.0,1.6,5.02,3.86,2.0,2.0,
