Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Unnamed: 19_level_0,Unnamed: 20_level_0
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1.0,Torry Holt,27.0,STL,WR,16.0,15.0,183.0,117.0,1696.0,14.5,12.0,84.0,59.6,48.0,7.3,106.0,63.9,9.3,1.0,"PB,AP-1,AP OPoY-6"
2.0,Randy Moss,26.0,MIN,WR,16.0,16.0,172.0,111.0,1632.0,14.7,17.0,77.0,54.7,72.0,6.9,102.0,64.5,9.5,1.0,"PB,AP-1"
3.0,Anquan Boldin,23.0,ARI,WR,16.0,16.0,165.0,101.0,1377.0,13.6,8.0,62.0,49.1,71.0,6.3,86.1,61.2,8.3,3.0,"PB,AP ORoY-1"
4.0,LaDainian Tomlinson,24.0,SDG,RB,16.0,16.0,137.0,100.0,725.0,7.3,4.0,26.0,32.1,73.0,6.3,45.3,73.0,5.3,2.0,"AP-2,AP OPoY-2"
5.0,Derrick Mason,29.0,TEN,WR,16.0,16.0,133.0,95.0,1303.0,13.7,8.0,69.0,59.4,50.0,5.9,81.4,71.4,9.8,0.0,PB
6.0,Hines Ward,27.0,PIT,WR,16.0,16.0,156.0,95.0,1163.0,12.2,10.0,60.0,53.8,50.0,5.9,72.7,60.9,7.5,0.0,"PB,AP-2"
7.0,Marvin Harrison,31.0,IND,WR,15.0,15.0,142.0,94.0,1272.0,13.5,10.0,60.0,54.9,79.0,6.3,84.8,66.2,9.0,2.0,"PB,AP-2"
8.0,Chad Johnson,25.0,CIN,WR,16.0,14.0,154.0,90.0,1355.0,15.1,10.0,67.0,55.8,82.0,5.6,84.7,58.4,8.8,0.0,"PB,AP-2"
9.0,Steve Smith Sr.,24.0,CAR,WR,16.0,11.0,142.0,88.0,1110.0,12.6,7.0,47.0,47.9,67.0,5.5,69.4,62.0,7.8,5.0,
10.0,Keenan McCardell,33.0,TAM,WR,16.0,16.0,139.0,84.0,1174.0,14.0,8.0,53.0,53.2,76.0,5.3,73.4,60.4,8.4,1.0,PB
11.0,Laveranues Coles,26.0,WAS,WR,16.0,16.0,159.0,82.0,1204.0,14.7,6.0,53.0,45.9,64.0,5.1,75.3,51.6,7.6,0.0,PB
12.0,Terrell Owens,30.0,SFO,WR,15.0,15.0,146.0,80.0,1102.0,13.8,9.0,55.0,45.2,75.0,5.3,73.5,54.8,7.5,0.0,PB
13.0,Peter Warrick,26.0,CIN,WR,15.0,14.0,122.0,79.0,819.0,10.4,7.0,49.0,51.6,77.0,5.3,54.6,64.8,6.7,2.0,
14.0,Joe Horn,31.0,NOR,WR,15.0,14.0,130.0,78.0,973.0,12.5,10.0,52.0,52.3,50.0,5.2,64.9,60.0,7.5,2.0,
15.0,Michael Pittman,28.0,TAM,RB,16.0,13.0,121.0,75.0,597.0,8.0,2.0,23.0,36.4,68.0,4.7,37.3,62.0,4.9,4.0,
16.0,Priest Holmes,30.0,KAN,RB,16.0,16.0,90.0,74.0,690.0,9.3,0.0,35.0,56.7,36.0,4.6,43.1,82.2,7.7,1.0,"PB,AP-1,AP MVP-5,AP OPoY-4,AP CPoY-11"
17.0,Santana Moss,24.0,NYJ,WR,16.0,12.0,117.0,74.0,1105.0,14.9,10.0,49.0,48.7,65.0,4.6,69.1,63.2,9.4,4.0,
18.0,Rod Smith,33.0,DEN,WR,15.0,15.0,114.0,74.0,845.0,11.4,3.0,48.0,51.8,38.0,4.9,56.3,64.9,7.4,0.0,
19.0,Tony Gonzalez,27.0,KAN,TE,16.0,16.0,106.0,71.0,916.0,12.9,10.0,48.0,54.7,67.0,4.4,57.3,67.0,8.6,0.0,"PB,AP-1"
20.0,David Boston,25.0,SDG,WR,14.0,14.0,115.0,70.0,880.0,12.6,7.0,42.0,50.4,46.0,5.0,62.9,60.9,7.7,2.0,
21.0,Richie Anderson,32.0,DAL,FB,15.0,8.0,87.0,69.0,493.0,7.1,4.0,21.0,43.7,37.0,4.6,32.9,79.3,5.7,1.0,
22.0,Tiki Barber,28.0,NYG,RB,16.0,16.0,98.0,69.0,461.0,6.7,1.0,26.0,43.9,36.0,4.3,28.8,70.4,4.7,9.0,
23.0,Isaac Bruce,31.0,STL,WR,15.0,15.0,119.0,69.0,981.0,14.2,5.0,49.0,52.9,41.0,4.6,65.4,58.0,8.2,0.0,
