Team,Pts. Vs QB,Scoring,vs QB Rank,Pts. vs RB,vs RB Rank,Pts. vs WR,vs WR Rank,Pts. vs TE,vs TE Rank,Pts. vs K,vs K Rank,Pts. vs DST
ARI,12.2,,12,22.3,24,25.6,8,7.6,2,7.1,17,5.4
ATL,14.5,,26,15.8,5,28.7,21,12.2,21,9.5,31,5.6
BAL,13.5,,22,15.8,5,30.1,26,12.9,24,8.6,27,1.1
BUF,11.6,,7,22.8,27,27.8,18,8.9,9,3.3,1,1.7
CAR,17.9,,31,26.0,32,30.8,31,15.0,31,10.2,32,6.1
CHI,10.9,,6,23.6,29,25.7,11,10.7,16,7.9,24,7.5
CIN,12.3,,13,16.2,8,24.8,4,16.3,32,5.8,8,5.2
CLE,14.2,,25,15.0,3,28.7,21,12.5,22,7.1,17,11.6
DAL,17.5,,30,22.9,28,32.9,32,10.3,13,6.9,15,7.3
DEN,10.1,,4,16.7,9,26.0,13,10.5,14,5.9,11,3.6
DET,13.0,,19,17.7,14,27.6,17,8.0,3,7.1,17,2.5
GB,10.7,,5,20.7,19,25.9,12,9.8,12,7.2,20,3.6
HOU,12.0,,10,16.9,10,29.6,23,8.7,8,5.5,5,5.8
IND,9.5,,2,22.3,24,25.3,6,12.8,23,7.6,22,6.9
JAC,14.8,,27,23.7,30,30.3,29,13.3,26,6.1,12,5.9
KC,15.0,,28,13.2,1,30.1,26,14.4,30,5.7,7,4.1
LA,13.0,,19,18.9,16,27.8,18,13.4,27,6.7,14,4.6
LAC,13.5,,22,15.8,5,29.8,25,10.7,16,5.8,8,3.5
LV,16.8,,29,17.1,11,24.4,3,13.4,27,8.9,30,9.2
MIA,8.8,,1,20.8,20,21.6,1,10.9,19,7.0,16,7.1
MIN,13.1,,21,18.0,15,30.2,28,9.2,11,5.1,4,5.5
NE,12.0,,10,21.3,23,23.0,2,7.0,1,7.7,23,8.6
NO,13.5,,22,20.2,18,30.7,30,11.2,20,8.8,29,7.0
NYG,12.5,,16,21.2,22,26.4,15,8.5,5,7.5,21,9.6
NYJ,12.7,,17,17.5,13,25.0,5,8.5,5,8.7,28,6.1
PHI,12.7,,17,15.6,4,25.6,8,8.4,4,5.0,3,3.9
PIT,11.8,,9,14.4,2,28.5,20,13.1,25,4.6,2,5.9
SEA,11.7,,8,21.1,21,25.6,8,10.6,15,5.8,8,7.7
SF,12.3,,13,25.9,31,25.4,7,8.9,9,8.4,25,5.6
TB,18.7,,32,17.4,12,29.6,23,13.7,29,8.5,26,4.4
TEN,12.3,,13,22.6,26,26.4,15,8.6,7,5.6,6,10.9
WAS,9.5,,2,19.1,17,26.3,14,10.8,18,6.6,13,4.0
