Cmp,Att,Cmp%,Yds,TD,Int,Cmp,Att,Cmp%,Yds,TD,Int
61,104,58.65,403,27,2,27,52,51.92,112,18,2
57,92,61.96,324,24,2,32,50,64.00,126,22,0
50,93,53.76,298,24,3,20,37,54.05,130,18,0
39,68,57.35,273,20,1,17,30,56.67,64,10,1
42,70,60.00,270,20,1,20,41,48.78,85,12,1
45,64,70.31,343,19,2,15,25,60.00,84,11,1
42,73,57.53,302,18,0,20,40,50.00,98,12,0
38,78,48.72,226,17,0,23,45,51.11,83,15,0
42,69,60.87,218,17,1,22,46,47.83,74,14,1
35,68,51.47,243,17,1,15,34,44.12,75,13,0
28,67,41.79,222,16,2,12,25,48.00,60,11,0
41,61,67.21,252,16,2,18,28,64.29,97,11,1
37,63,58.73,186,15,1,19,39,48.72,69,12,1
28,58,48.28,191,15,2,14,30,46.67,51,10,0
30,60,50.00,179,14,1,14,30,46.67,49,11,1
30,60,50.00,173,13,3,13,31,41.94,58,11,1
30,50,60.00,212,13,0,9,19,47.37,47,8,0
28,56,50.00,214,12,1,11,24,45.83,56,7,1
31,46,67.39,172,11,2,16,26,61.54,60,10,0
29,48,60.42,150,11,1,12,15,80.00,46,8,0
19,39,48.72,109,11,0,11,23,47.83,52,9,0
30,58,51.72,218,10,1,11,26,42.31,46,6,0
22,45,48.89,141,10,3,13,27,48.15,71,10,2
18,27,66.67,133,8,1,7,12,58.33,27,5,0
17,28,60.71,115,8,0,8,17,47.06,44,7,0
20,30,66.67,142,8,2,8,12,66.67,37,5,0
29,47,61.70,167,8,3,11,23,47.83,35,5,2
24,47,51.06,116,8,1,13,25,52.00,37,7,0
30,45,66.67,172,7,1,12,18,66.67,57,5,1
16,32,50.00,100,6,0,9,17,52.94,44,5,0
12,21,57.14,79,6,2,7,14,50.00,34,4,1
9,15,60.00,52,6,0,5,8,62.50,34,5,0
12,16,75.00,74,6,0,6,7,85.71,27,4,0
14,26,53.85,79,5,1,5,11,45.45,32,5,0
8,9,88.89,74,5,0,1,1,100.00,8,1,0
7,20,35.00,46,4,1,3,12,25.00,8,3,0
14,32,43.75,74,3,0,6,12,50.00,12,2,0
10,17,58.82,80,3,0,3,6,50.00,16,2,0
6,16,37.50,34,3,1,4,12,33.33,12,3,0
14,27,51.85,77,3,0,5,12,41.67,28,2,0
4,7,57.14,19,2,0,4,5,80.00,19,2,0
3,6,50.00,18,2,0,2,4,50.00,6,2,0
2,3,66.67,14,2,0,1,1,100.00,2,1,0
3,4,75.00,31,2,0,0,0,,0,0,0
4,8,50.00,22,2,0,2,5,40.00,3,1,0
7,12,58.33,45,2,1,1,5,20.00,9,1,1
4,7,57.14,37,2,0,2,4,50.00,6,1,0
3,3,100.00,30,2,0,1,1,100.00,8,1,0
5,11,45.45,38,2,0,2,5,40.00,15,1,0
5,11,45.45,39,2,1,2,5,40.00,11,1,0
3,4,75.00,7,2,0,3,3,100.00,7,2,0
3,13,23.08,36,2,1,0,4,.00,0,0,0
1,1,100.00,15,1,0,0,0,,0,0,0
3,15,20.00,17,1,1,1,7,14.29,2,1,0
3,11,27.27,28,1,0,0,5,.00,0,0,0
3,10,30.00,10,1,0,2,8,25.00,2,1,0
4,5,80.00,17,1,0,2,3,66.67,9,1,0
1,1,100.00,4,1,0,1,1,100.00,4,1,0
1,1,100.00,6,1,0,1,1,100.00,6,1,0
1,1,100.00,3,1,0,1,1,100.00,3,1,0
1,3,33.33,16,1,0,0,0,,0,0,0
3,5,60.00,27,1,0,1,3,33.33,3,1,0
2,2,100.00,11,1,0,1,1,100.00,3,1,0
3,5,60.00,25,1,0,1,1,100.00,5,1,0
7,17,41.18,42,1,1,5,14,35.71,23,1,1
1,1,100.00,-2,0,0,0,0,,0,0,0
7,9,77.78,32,0,0,2,3,66.67,2,0,0
0,1,.00,0,0,0,0,1,.00,0,0,0
0,1,.00,0,0,0,0,1,.00,0,0,0
0,1,.00,0,0,0,0,1,.00,0,0,0
4,8,50.00,22,0,0,2,5,40.00,8,0,0
1,1,100.00,3,0,0,1,1,100.00,3,0,0
1,1,100.00,4,0,0,1,1,100.00,4,0,0
2,3,66.67,13,0,0,1,2,50.00,4,0,0
2,4,50.00,5,0,0,0,0,,0,0,0
4,6,66.67,19,0,0,1,1,100.00,0,0,0
0,1,.00,0,0,0,0,1,.00,0,0,0
