Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush
63,193,13,62.4%,34,68,11,60.7%,17,17,9,53.1%
60,164,5,58.3%,30,46,5,60.0%,13,12,3,54.2%
56,141,9,77.8%,38,68,8,80.9%,18,19,6,81.8%
50,139,11,47.2%,31,56,11,50.8%,17,21,9,58.6%
50,190,11,61.0%,32,97,11,62.7%,13,27,8,59.1%
44,145,15,48.4%,33,69,13,56.9%,19,15,11,70.4%
43,86,15,41.3%,29,28,14,43.3%,16,18,13,53.3%
42,110,8,59.2%,23,68,8,59.0%,7,11,4,43.8%
42,145,6,58.3%,20,56,5,52.6%,9,3,5,50.0%
39,101,13,36.4%,30,66,13,48.4%,19,31,12,63.3%
39,109,4,42.9%,21,41,3,44.7%,9,10,3,34.6%
38,76,7,55.1%,19,18,6,51.4%,13,8,5,76.5%
38,88,6,60.3%,19,28,6,76.0%,8,13,6,66.7%
37,74,6,57.8%,15,27,6,68.2%,6,7,4,100.0%
37,110,7,54.4%,16,20,6,48.5%,9,10,5,60.0%
37,128,8,34.9%,21,31,5,34.4%,8,8,5,27.6%
37,78,3,49.3%,17,28,3,47.2%,8,8,3,50.0%
36,92,10,67.9%,24,36,8,75.0%,12,5,6,70.6%
36,66,5,56.3%,22,33,5,59.5%,8,11,5,53.3%
36,118,5,39.6%,22,49,4,40.0%,8,5,3,40.0%
35,137,15,32.7%,21,56,12,32.8%,14,19,8,43.8%
35,112,5,33.7%,27,60,5,40.3%,10,4,2,33.3%
34,105,3,43.0%,10,16,3,27.8%,4,3,2,36.4%
34,62,2,39.1%,18,27,2,52.9%,7,2,1,41.2%
34,113,2,39.1%,10,12,2,29.4%,6,3,2,35.3%
33,77,5,57.9%,17,38,5,58.6%,8,-1,3,50.0%
32,91,6,55.2%,18,39,6,54.5%,9,10,4,50.0%
32,78,9,48.5%,15,29,8,48.4%,11,15,7,64.7%
32,91,4,41.6%,17,21,3,39.5%,7,2,2,30.4%
31,74,1,29.0%,18,38,1,28.1%,4,1,1,12.5%
30,47,5,42.3%,24,38,5,53.3%,13,14,5,56.5%
30,114,5,28.0%,13,46,5,21.0%,5,0,1,16.7%
28,75,6,30.8%,14,20,6,29.8%,9,6,4,34.6%
27,81,3,29.7%,18,22,3,32.7%,7,3,3,35.0%
26,97,5,46.4%,13,26,3,50.0%,7,9,2,46.7%
23,53,2,22.1%,10,19,1,14.9%,3,0,1,10.0%
23,21,0,45.1%,12,-5,0,42.9%,9,-7,0,56.3%
23,74,4,29.1%,12,38,3,33.3%,2,3,1,18.2%
22,14,1,31.9%,13,0,1,35.1%,3,-5,1,17.6%
22,56,4,28.9%,11,13,3,28.2%,5,1,2,25.0%
22,22,2,28.6%,14,15,2,32.6%,8,-1,2,34.8%
21,44,3,50.0%,11,28,3,57.9%,4,4,2,57.1%
21,44,2,56.8%,10,14,2,66.7%,1,2,1,50.0%
20,71,3,18.7%,11,24,2,17.7%,4,4,2,13.3%
20,41,4,18.7%,17,31,4,26.6%,11,10,4,34.4%
19,81,5,20.9%,11,36,5,19.0%,4,9,3,14.8%
18,54,3,42.9%,8,25,3,42.1%,3,3,2,42.9%
18,23,3,24.0%,7,10,3,19.4%,4,6,3,25.0%
17,47,4,22.4%,10,25,4,25.6%,6,7,4,30.0%
17,65,3,23.9%,8,4,0,20.5%,4,-4,0,25.0%
16,24,3,24.2%,10,23,3,32.3%,4,11,3,23.5%
16,1,1,25.4%,5,7,1,20.0%,3,-1,1,25.0%
16,36,2,15.8%,12,20,2,21.4%,8,6,2,25.0%
15,42,2,14.6%,6,10,2,12.0%,4,2,2,16.7%
15,45,2,19.7%,5,10,1,12.8%,1,1,1,5.0%
14,24,1,17.1%,9,7,1,17.6%,4,2,1,18.2%
14,45,1,19.7%,7,13,1,15.6%,3,3,1,13.0%
14,28,4,20.6%,10,15,4,30.3%,4,-1,2,26.7%
13,16,0,18.1%,8,-13,0,21.1%,5,-8,0,27.8%
13,67,2,12.6%,7,31,1,14.0%,2,3,0,8.3%
12,55,5,15.2%,7,31,5,19.4%,2,2,1,18.2%
12,17,1,18.8%,7,6,1,18.9%,3,-1,1,20.0%
12,27,1,13.2%,7,14,1,12.7%,2,2,1,10.0%
11,53,4,,4,18,3,,2,1,1,
11,35,3,15.5%,6,4,2,13.3%,5,2,2,21.7%
11,26,2,14.5%,7,17,2,17.9%,5,6,2,25.0%
11,25,3,19.0%,9,6,3,27.3%,5,-11,2,27.8%
11,38,1,14.7%,7,13,1,19.4%,3,2,1,18.8%
11,10,1,19.3%,7,7,1,24.1%,4,0,1,25.0%
10,16,2,9.4%,4,9,2,6.6%,2,4,2,6.9%
9,17,2,13.2%,4,9,2,12.1%,2,2,2,13.3%
9,16,3,12.5%,7,11,3,14.9%,4,3,3,18.2%
9,15,3,17.6%,5,8,3,17.9%,3,5,3,18.8%
9,40,5,16.1%,5,19,4,19.2%,2,2,2,13.3%
9,23,4,10.3%,5,15,4,14.7%,3,4,3,17.6%
9,53,4,8.9%,2,3,2,3.6%,2,3,2,6.3%
9,41,2,17.0%,5,10,1,15.6%,3,6,1,17.6%
9,30,3,11.7%,6,15,3,14.0%,3,3,2,13.0%
9,3,0,9.9%,6,1,0,10.3%,1,0,0,3.7%
9,34,0,9.9%,2,2,0,3.4%,1,1,0,3.7%
