Player,Team,Pass Attempts,CMP,YDS_PASS,TDS_PASS,INTS,ATT_RUSH,YDS_RUSH,TDS_RUSH,FL,FPTS
Patrick Mahomes II,KC,584.4,392.1,4371.1,32.5,11.4,72.3,376.7,1.8,3.1,335.7
Joe Burrow,CIN,580.8,389.6,4230.2,30.3,11.5,56.7,192.4,2.2,3.1,305.5
Dak Prescott,DAL,574.5,386.4,4238.8,31.1,12.2,51.9,222.3,2.0,2.8,310.4
Jared Goff,DET,568.4,383.6,4229.4,28.1,10.8,24.6,55.6,1.1,3.1,276.8
Trevor Lawrence,JAC,565.7,373.0,3979.5,24.3,12.7,66.1,306.5,3.5,4.8,285.6
Baker Mayfield,TB,562.0,355.5,3946.5,25.7,11.9,52.1,171.3,1.5,3.3,268.2
Josh Allen,BUF,559.5,364.2,4029.0,27.6,14.2,107.4,546.6,8.9,4.0,357.1
C.J. Stroud,HOU,556.0,361.8,4329.9,29.4,10.1,43.8,184.2,2.3,3.6,306.1
Matthew Stafford,LAR,552.5,354.8,4122.0,26.8,12.7,23.4,66.2,0.6,2.2,265.1
Aaron Rodgers,NYJ,545.9,361.0,3833.5,26.1,9.2,33.2,110.0,1.3,2.7,262.1
Tua Tagovailoa,MIA,545.3,370.8,4269.1,27.2,12.7,31.8,88.8,0.6,3.8,271.9
Derek Carr,NO,544.6,363.8,3848.5,25.0,11.1,24.7,71.2,0.5,3.2,246.3
Justin Herbert,LAC,544.2,356.4,3852.0,24.6,9.7,65.8,267.0,2.7,3.0,279.6
Jordan Love,GB,543.1,353.5,3974.7,29.2,11.6,46.1,202.5,2.5,3.0,292.9
Caleb Williams,CHI,539.8,351.2,3802.4,24.9,14.2,69.5,325.6,3.1,4.0,280.6
Deshaun Watson,CLE,538.6,330.8,3713.9,22.7,13.5,76.8,380.3,3.2,3.8,275.2
Jayden Daniels,WAS,538.3,337.9,3557.6,20.0,14.6,109.5,575.1,4.4,4.4,282.4
Kirk Cousins,ATL,534.4,351.0,4024.7,27.0,10.5,33.9,99.6,1.4,4.5,268.2
Bryce Young,CAR,531.7,333.6,3454.3,19.2,12.1,43.0,237.2,1.2,3.5,226.9
Kyler Murray,ARI,530.2,353.2,3679.2,21.8,12.3,96.1,521.2,4.9,2.6,298.7
Geno Smith,SEA,522.3,342.6,3755.3,24.1,12.1,50.6,203.8,1.5,3.1,257.9
Jalen Hurts,PHI,520.1,339.7,3811.3,24.4,12.3,145.6,625.0,11.3,3.8,360.4
Anthony Richardson,IND,511.9,326.2,3507.7,19.9,11.4,127.5,646.0,7.8,5.0,310.0
Will Levis,TEN,511.0,320.7,3704.1,21.6,12.8,54.5,186.8,2.2,4.2,245.4
Brock Purdy,SF,498.4,336.1,4075.2,29.6,11.0,44.7,163.6,2.0,2.6,293.4
Daniel Jones,NYG,494.2,322.7,3224.1,16.6,10.8,95.0,469.3,3.5,3.6,245.2
Bo Nix,DEN,470.3,292.8,2986.7,17.6,11.5,59.6,265.1,2.4,3.2,212.9
Lamar Jackson,BAL,464.6,304.1,3570.9,25.1,10.8,138.6,800.1,5.1,4.1,335.2
Russell Wilson,PIT,438.3,279.1,3048.7,18.8,9.8,65.9,311.4,2.6,3.5,227.4
J.J. McCarthy,MIN,381.2,243.8,2801.8,16.8,10.5,30.2,179.0,1.6,2.8,190.6
Drake Maye,NE,366.5,232.1,2664.1,14.2,11.2,45.7,221.6,1.8,2.5,180.3
Gardner Minshew II,LV,331.0,208.0,2220.3,12.7,8.4,26.8,93.3,1.4,1.9,145.0
Aidan O'Connell,LV,240.0,151.1,1587.9,8.6,6.3,20.2,50.7,0.5,2.0,95.9
Sam Darnold,MIN,223.4,140.1,1348.0,7.9,5.0,19.2,63.1,0.9,0.7,91.0
Jacoby Brissett,NE,183.7,118.1,1077.6,5.7,3.9,16.9,59.0,0.3,1.1,67.6
Justin Fields,PIT,107.3,65.7,744.8,4.1,3.1,40.8,212.8,1.3,1.2,70.0
Jarrett Stidham,DEN,97.5,61.2,700.3,4.2,3.0,11.8,39.9,0.3,0.6,46.3
Drew Lock,NYG,74.0,46.5,505.0,3.3,1.8,7.9,25.0,0.1,0.6,34.0
Sam Howell,SEA,73.1,47.0,496.8,3.1,2.2,8.0,39.0,0.4,0.5,35.4
Hendon Hooker,DET,68.2,44.2,327.4,1.9,1.4,6.1,25.9,0.2,0.3,22.6
Mason Rudolph,TEN,57.4,34.9,332.1,1.8,1.3,5.3,13.5,0.1,0.3,20.4
Case Keenum,HOU,51.9,32.3,301.1,2.2,1.3,4.0,12.1,0.1,0.3,20.6
Sean Clifford,GB,50.7,32.0,309.8,2.2,1.2,6.5,17.8,0.1,0.3,21.5
Jake Browning,CIN,50.5,32.7,376.8,2.7,1.5,5.6,26.8,0.2,0.2,27.5
Joe Flacco,IND,48.8,30.7,317.3,1.8,1.1,5.0,13.3,0.0,0.5,19.3
Carson Wentz,KC,48.5,30.8,289.4,2.1,1.3,5.2,19.4,0.1,0.2,20.8
Desmond Ridder,ARI,48.2,30.9,329.2,1.8,1.4,5.8,21.1,0.1,0.9,20.1
Cooper Rush,DAL,48.2,30.5,297.9,2.0,1.3,5.7,11.0,0.1,0.2,19.6
Jameis Winston,CLE,48.0,29.6,307.9,1.9,1.5,5.6,18.3,0.1,0.1,20.2
Mike White,MIA,47.2,30.1,293.1,1.5,1.4,4.2,8.5,0.1,0.2,17.1
Mac Jones,JAC,46.7,31.4,290.6,1.7,1.3,5.4,19.0,0.0,0.1,18.9
Jimmy Garoppolo,LAR,46.5,30.1,315.4,2.1,1.2,3.8,10.6,0.0,0.1,21.0
Tyson Bagent,CHI,46.5,30.1,293.6,1.7,1.2,4.9,24.1,0.1,0.2,20.2
Mitchell Trubisky,BUF,45.6,29.6,269.8,2.0,1.3,8.0,25.8,0.3,0.2,21.5
Andy Dalton,CAR,45.4,28.6,272.2,1.6,0.9,4.7,16.7,0.1,0.1,18.0
Kyle Trask,TB,44.7,26.9,264.4,1.7,0.9,5.5,13.5,0.1,0.2,18.1
Marcus Mariota,WAS,44.5,27.7,282.4,1.5,1.2,6.5,30.8,0.1,0.2,19.5
Tyrod Taylor,NYJ,43.9,27.5,269.7,1.8,1.0,5.5,23.5,0.0,0.2,19.4
Kenny Pickett,PHI,43.8,28.5,329.6,2.0,1.2,7.1,24.5,0.2,0.5,22.4
Easton Stick,LAC,43.2,26.4,261.8,1.7,0.9,6.1,24.1,0.1,0.2,18.6
Josh Johnson,BAL,42.7,26.7,294.2,1.9,0.9,8.9,37.0,0.3,0.3,23.0
Michael Penix Jr.,ATL,42.5,26.0,334.9,2.5,1.3,3.4,21.0,0.4,0.5,25.6
