Player,Team,Rushing Attempts,YDS,TDS,REC,YDS,TDS,FL,FPTS
Christian McCaffrey,SF,262.0,1251.7,11.5,69.6,570.3,5.4,1.6,280.7
Breece Hall,NYJ,233.2,1020.7,8.3,72.7,609.1,5.8,1.1,245.4
Saquon Barkley,PHI,265.8,1117.1,10.8,48.5,372.8,4.2,1.5,236.3
Bijan Robinson,ATL,211.1,988.2,6.1,65.3,574.2,6.1,2.3,225.0
Kyren Williams,LAR,252.4,1169.4,11.3,34.8,258.2,2.4,1.6,221.7
Jonathan Taylor,IND,269.4,1219.6,10.3,36.6,288.6,1.7,1.1,220.5
Derrick Henry,BAL,258.3,1182.0,11.8,26.1,226.8,0.6,0.9,213.2
Joe Mixon,HOU,244.6,939.5,8.6,42.7,329.4,2.9,0.8,194.4
Isiah Pacheco,KC,226.2,1000.0,9.6,44.8,274.8,2.0,1.6,193.9
De'Von Achane,MIA,160.2,867.9,7.9,44.9,352.4,3.7,0.9,190.3
Travis Etienne Jr.,JAC,236.2,931.2,9.0,48.3,384.8,1.1,0.9,190.1
Josh Jacobs,GB,260.2,1044.1,9.0,35.4,283.3,0.7,1.1,188.3
James Cook,BUF,239.2,1062.3,4.7,44.9,389.3,2.7,1.6,186.0
Jahmyr Gibbs,DET,181.8,859.8,8.6,56.8,397.0,1.7,1.6,184.4
Rachaad White,TB,218.9,868.9,7.2,53.7,422.2,2.4,1.6,183.0
Kenneth Walker III,SEA,226.6,935.4,10.2,30.0,237.3,0.9,0.9,182.5
Alvin Kamara,NO,203.4,803.2,6.4,74.1,527.8,1.9,0.9,181.7
Raheem Mostert,MIA,175.1,817.6,9.9,25.7,175.7,2.1,1.0,169.4
Aaron Jones,MIN,184.5,877.1,5.4,49.7,381.4,2.0,1.0,168.0
David Montgomery,DET,208.0,891.4,9.8,22.9,172.8,0.4,0.9,165.6
James Conner,ARI,195.5,888.9,7.0,35.1,236.6,2.0,0.8,165.2
Nick Chubb,CLE,213.5,968.7,6.0,27.5,223.4,0.8,0.8,158.5
Najee Harris,PIT,228.4,925.5,6.9,28.0,175.9,1.1,0.9,156.5
Brian Robinson Jr.,WAS,193.4,805.5,5.4,31.1,282.4,2.6,1.7,153.1
D'Andre Swift,CHI,186.2,856.6,4.6,40.4,273.0,1.7,1.0,148.5
Zack Moss,CIN,174.3,759.3,6.4,32.0,220.6,2.0,0.8,146.7
Jonathon Brooks,CAR,196.5,840.6,5.7,28.8,227.5,1.1,1.9,143.8
Zamir White,LV,209.5,946.7,4.5,32.2,225.3,0.4,1.5,143.7
Austin Ekeler,WAS,130.2,540.2,5.7,48.9,427.1,2.6,2.0,142.4
J.K. Dobbins,LAC,145.3,669.5,5.0,33.7,258.9,3.1,0.9,140.1
Tony Pollard,TEN,198.1,819.0,5.9,33.5,217.3,0.5,0.9,139.8
Rhamondre Stevenson,NE,185.1,748.8,5.0,45.1,311.4,0.5,1.0,136.8
Gus Edwards,LAC,177.0,702.6,7.9,16.0,162.0,0.3,1.5,132.5
Javonte Williams,DEN,191.4,751.1,4.1,43.5,247.2,1.6,0.9,132.3
Devin Singletary,NYG,192.2,834.7,4.8,33.2,197.5,0.3,0.9,131.9
Ezekiel Elliott,DAL,175.6,657.2,5.7,35.0,235.7,1.5,0.9,130.7
Jaylen Warren,PIT,129.7,654.7,3.5,52.6,355.3,1.2,1.6,126.3
Chase Brown,CIN,115.8,526.1,3.0,37.5,354.4,2.2,0.8,118.0
Tyjae Spears,TEN,131.4,567.9,3.1,45.9,359.9,1.3,0.8,117.7
Tyler Allgeier,ATL,146.3,596.4,4.5,23.1,204.1,1.5,0.7,114.9
Antonio Gibson,NE,126.9,494.2,2.9,47.8,357.0,1.6,1.6,108.7
Ty Chandler,MIN,134.6,591.1,5.2,22.2,161.0,0.3,0.7,106.9
Trey Benson,ARI,135.7,623.7,4.6,17.8,137.5,0.9,1.8,105.1
Jerome Ford,CLE,126.5,507.0,3.0,30.4,216.6,2.4,0.7,103.3
Blake Corum,LAR,126.1,539.7,4.2,15.4,130.5,0.8,1.3,95.0
Rico Dowdle,DAL,138.4,548.9,3.6,16.6,132.0,0.9,0.6,94.3
Clyde Edwards-Helaire,KC,93.7,379.8,2.7,27.5,242.4,2.0,0.7,89.3
Jaleel McLaughlin,DEN,99.4,503.4,2.2,28.7,175.4,1.5,0.6,88.3
Zach Charbonnet,SEA,111.7,472.0,2.7,33.4,222.5,0.5,0.7,87.1
Chuba Hubbard,CAR,122.1,473.5,3.6,24.7,162.7,0.2,0.7,85.5
D'Onta Foreman,CLE,122.9,482.0,3.5,11.5,97.4,1.1,0.6,84.2
Khalil Herbert,CHI,109.8,489.5,2.7,18.6,126.4,0.8,0.7,80.6
Keaton Mitchell,BAL,86.8,459.4,3.3,14.2,120.3,0.5,0.7,79.3
Jaylen Wright,MIA,84.6,390.2,3.7,15.3,140.5,0.7,1.1,77.7
Braelon Allen,NYJ,97.2,402.7,3.2,13.0,105.6,0.8,1.2,72.4
MarShawn Lloyd,GB,85.3,359.8,3.0,18.2,145.9,1.1,1.2,72.3
Bucky Irving,TB,100.0,389.1,2.8,15.0,133.3,0.7,1.2,70.8
Kenneth Gainwell,PHI,87.1,372.4,3.0,24.5,166.3,0.2,1.3,70.7
Samaje Perine,DEN,67.4,302.1,1.7,34.4,273.7,0.9,1.8,69.8
Tyrone Tracy Jr.,NYG,96.5,405.6,2.5,15.3,117.9,0.8,1.2,69.7
Alexander Mattison,LV,100.3,393.8,2.0,15.9,103.8,1.3,0.8,67.8
Roschon Johnson,CHI,78.2,333.7,2.7,25.9,164.8,0.3,0.2,67.0
Elijah Mitchell,SF,93.2,376.6,3.5,10.9,65.8,0.2,0.1,66.7
Miles Sanders,CAR,102.3,405.5,2.2,22.0,134.1,0.1,1.2,65.1
Kendre Miller,NO,66.2,268.6,1.9,21.7,190.4,0.7,0.2,60.9
Israel Abanikanda,NYJ,78.1,332.8,2.4,13.1,93.9,0.5,0.4,59.7
Jamaal Williams,NO,100.5,354.8,2.5,18.5,93.1,0.2,0.7,59.1
Tank Bigsby,JAC,92.3,300.3,3.8,7.0,47.5,0.3,3.3,52.5
Chase Edmonds,TB,69.8,279.6,1.5,19.4,131.8,0.4,0.1,52.0
Trey Sermon,IND,76.1,326.6,2.0,8.6,58.7,0.2,0.3,51.0
