Player,Tm,Cmp,Att,Cmp%,Yds,TD,Int,Cmp.1,Att.1,Cmp%.1,Yds.1,TD.1,Int.1
Lamar Jackson,BAL,45,64,70.31,389,32,1,19,31,61.29,103,18,0
Joe Burrow,CIN,71,122,58.2,446,30,0,35,71,49.3,141,23,0
Baker Mayfield,TAM,57,78,73.08,370,29,1,33,48,68.75,122,19,1
Sam Darnold,MIN,59,93,63.44,371,26,3,31,48,64.58,150,20,1
Jared Goff,DET,61,93,65.59,373,23,0,28,44,63.64,144,21,0
Bo Nix,DEN,44,68,64.71,325,22,1,21,30,70.0,108,15,1
Patrick Mahomes,KAN,65,99,65.66,350,22,2,29,49,59.18,110,17,1
Josh Allen,BUF,32,61,52.46,244,20,1,13,30,43.33,55,11,0
Jayden Daniels,WAS,41,66,62.12,280,19,1,20,32,62.5,101,16,1
Aaron Rodgers,NYJ,42,83,50.6,256,19,2,19,40,47.5,74,14,1
Jordan Love,GNB,48,72,66.67,340,19,2,17,26,65.38,61,10,0
Brock Purdy,SFO,46,75,61.33,319,17,1,18,36,50.0,92,12,1
Matthew Stafford,LAR,33,71,46.48,224,16,1,16,39,41.03,61,10,1
C.J. Stroud,HOU,33,59,55.93,183,16,0,19,30,63.33,99,14,0
Kyler Murray,ARI,41,66,62.12,262,16,1,17,35,48.57,74,12,1
Tua Tagovailoa,MIA,41,57,71.93,255,16,0,18,28,64.29,83,11,0
Geno Smith,SEA,29,54,53.7,241,13,4,7,26,26.92,38,7,2
Caleb Williams,CHI,36,72,50.0,232,13,0,17,25,68.0,83,11,0
Justin Herbert,LAC,29,57,50.88,184,12,0,12,28,42.86,75,9,0
Jalen Hurts,PHI,29,48,60.42,180,11,3,13,23,56.52,47,8,0
Bryce Young,CAR,29,56,51.79,194,11,1,9,18,50.0,40,7,0
Cooper Rush,DAL,17,32,53.13,110,10,2,7,17,41.18,30,6,1
Russell Wilson,PIT,23,45,51.11,174,10,2,6,18,33.33,27,5,1
Kirk Cousins,ATL,24,46,52.17,178,10,1,5,16,31.25,30,5,0
Trevor Lawrence,JAX,16,36,44.44,129,9,1,8,20,40.0,39,6,0
Joe Flacco,IND,22,41,53.66,149,9,0,8,13,61.54,43,6,0
Drake Maye,NWE,20,39,51.28,126,9,2,9,19,47.37,41,7,1
Mason Rudolph,TEN,16,28,57.14,110,8,1,6,12,50.0,38,6,1
Derek Carr,NOR,15,26,57.69,120,8,0,4,7,57.14,12,4,0
Gardner Minshew,LVR,16,35,45.71,112,6,1,7,21,33.33,29,4,1
Dak Prescott,DAL,14,28,50.0,88,6,2,4,7,57.14,13,3,1
Jameis Winston,CLE,12,28,42.86,98,6,2,5,14,35.71,25,4,2
Daniel Jones,NYG,15,30,50.0,82,6,3,8,18,44.44,33,6,1
Mac Jones,JAX,14,26,53.85,102,6,0,5,12,41.67,25,4,0
Will Levis,TEN,11,21,52.38,103,6,0,4,11,36.36,17,2,0
Andy Dalton,CAR,12,21,57.14,61,5,0,9,15,60.0,42,5,0
Aidan O'Connell,LVR,15,27,55.56,120,5,1,4,11,36.36,25,3,1
Anthony Richardson,IND,7,17,41.18,41,4,1,5,10,50.0,28,4,1
Deshaun Watson,CLE,10,16,62.5,70,4,0,5,9,55.56,26,4,0
Justin Fields,PIT,13,19,68.42,102,4,0,5,9,55.56,24,3,0
Marcus Mariota,WAS,8,9,88.89,60,4,0,3,4,75.0,13,3,0
Tyler Huntley,MIA,8,18,44.44,45,3,1,5,8,62.5,23,3,0
Spencer Rattler,NOR,8,12,66.67,41,3,0,4,6,66.67,23,3,0
Jacoby Brissett,NWE,12,23,52.17,61,2,0,6,8,75.0,27,2,0
Malik Willis,GNB,3,5,60.0,22,2,0,1,2,50.0,3,1,0
Drew Lock,NYG,6,15,40.0,24,2,0,3,6,50.0,10,2,0
Jimmy Garoppolo,LAR,4,8,50.0,17,2,0,2,4,50.0,10,2,0
Tyrod Taylor,NYJ,3,6,50.0,16,2,0,2,4,50.0,12,2,0
Tanner McKee,PHI,3,4,75.0,26,2,0,2,2,100.0,11,1,0
Bailey Zappe,CLE,2,6,33.33,18,1,1,1,2,50.0,2,0,0
Brandon Allen,SFO,3,4,75.0,20,1,0,1,2,50.0,3,1,0
Amon-Ra St. Brown,DET,1,1,100.0,7,1,0,1,1,100.0,7,1,0
Courtland Sutton,DEN,1,1,100.0,2,1,0,1,1,100.0,2,1,0
Mitchell Trubisky,BUF,2,2,100.0,3,1,0,2,2,100.0,3,1,0
Desmond Ridder,LVR,3,5,60.0,12,1,0,2,3,66.67,2,1,0
Kenny Pickett,PHI,4,7,57.14,15,1,0,2,2,100.0,10,1,0
Michael Penix,ATL,6,13,46.15,54,1,1,0,3,0.0,0,0,1
David Montgomery,DET,1,1,100.0,3,1,0,1,1,100.0,3,1,0
Jake Haener,NOR,2,5,40.0,19,1,0,0,2,0.0,0,0,0
Joshua Dobbs,SFO,3,6,50.0,16,1,0,1,4,25.0,6,1,0
Malik Nabers,NYG,0,1,0.0,0,0,0,0,1,0.0,0,0,0
Joe Mixon,HOU,0,1,0.0,0,0,0,0,1,0.0,0,0,0
Dorian Thompson-Robinson,CLE,2,11,18.18,2,0,1,0,5,0.0,0,0,1
Skylar Thompson,MIA,3,8,37.5,15,0,0,1,3,33.33,6,0,0
Joe Milton,NWE,2,3,66.67,16,0,0,0,1,0.0,0,0,0
Davis Mills,HOU,1,10,10.0,9,0,0,0,7,0.0,0,0,0
Allen Lazard,NYJ,0,1,0.0,0,0,0,0,0,,0,0,0
Trey Lance,DAL,0,7,0.0,0,0,0,0,5,0.0,0,0,0
Tommy DeVito,NYG,0,3,0.0,0,0,0,0,0,,0,0,0
Tim Boyle,2TM,1,7,14.29,11,0,0,0,5,0.0,0,0,0
