Inside 20,Inside 20.1,Inside 20.2,Inside 20.3,Inside 10,Inside 10.1,Inside 10.2,Inside 10.3,Inside 5,Inside 5.1,Inside 5.2,Inside 5.3
Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush
65,184,14,73.9%,33,63,13,78.6%,19,31,12,82.6%
59,142,13,67.0%,34,72,12,65.4%,14,20,9,70.0%
57,117,7,57.6%,31,44,7,55.4%,15,7,5,50.0%
56,141,14,57.7%,40,88,14,69.0%,19,22,11,73.1%
56,125,9,66.7%,29,47,8,74.4%,12,8,6,80.0%
55,202,6,42.3%,28,50,4,42.4%,13,18,4,37.1%
55,158,13,64.7%,32,57,13,72.7%,18,21,9,94.7%
50,158,12,44.2%,26,53,10,40.0%,15,16,8,42.9%
50,133,5,53.2%,26,42,5,49.1%,7,6,3,41.2%
49,127,14,37.7%,28,45,13,42.4%,18,12,11,51.4%
49,161,12,43.4%,33,76,11,50.8%,17,25,8,48.6%
48,142,12,43.6%,29,66,11,48.3%,13,12,6,48.1%
44,82,6,62.9%,28,45,6,63.6%,12,6,5,57.1%
44,138,8,62.0%,21,48,8,72.4%,11,8,5,64.7%
42,91,7,50.6%,24,36,7,60.0%,14,19,5,56.0%
42,74,4,62.7%,24,8,3,66.7%,12,-4,3,70.6%
41,94,8,63.1%,27,34,7,65.9%,17,16,7,77.3%
41,119,7,33.3%,24,43,7,35.3%,11,7,4,36.7%
40,97,6,60.6%,18,31,5,62.1%,11,15,5,64.7%
38,51,5,55.1%,23,13,4,59.0%,12,-1,3,66.7%
37,107,6,30.1%,16,30,5,23.5%,10,7,4,33.3%
37,149,8,48.1%,22,56,6,51.2%,12,8,4,60.0%
33,94,6,53.2%,17,38,5,54.8%,7,9,3,58.3%
32,113,6,47.8%,21,40,5,52.5%,11,11,4,50.0%
32,93,3,33.3%,19,25,3,33.9%,7,-1,1,29.2%
32,96,3,54.2%,14,40,3,56.0%,5,8,2,50.0%
31,102,11,28.2%,18,45,10,30.0%,10,8,7,37.0%
31,63,3,52.5%,18,24,3,54.5%,8,-4,3,38.1%
28,76,7,38.4%,17,30,5,37.0%,8,11,4,36.4%
26,59,4,35.6%,13,25,3,39.4%,8,1,1,38.1%
24,61,2,44.4%,10,13,2,38.5%,5,0,2,41.7%
23,44,3,26.1%,13,23,3,25.0%,5,2,1,25.0%
22,45,6,40.7%,17,36,6,48.6%,11,8,4,44.0%
22,35,4,37.3%,14,8,4,41.2%,10,0,4,50.0%
21,47,2,31.3%,10,11,2,25.0%,5,4,2,22.7%
21,51,3,37.5%,10,23,3,30.3%,4,2,3,25.0%
21,23,4,38.9%,15,19,4,42.9%,11,9,4,44.0%
20,59,4,27.4%,12,35,4,26.1%,5,7,3,22.7%
20,80,3,16.3%,11,28,3,16.2%,5,6,3,16.7%
20,78,1,15.4%,8,15,0,12.1%,2,1,0,5.7%
20,49,3,26.0%,13,21,3,30.2%,4,-2,2,20.0%
19,57,5,52.8%,10,14,3,62.5%,8,8,3,80.0%
19,81,5,19.2%,14,35,5,25.0%,8,15,4,26.7%
18,88,3,16.4%,7,23,2,11.7%,2,4,1,7.4%
18,73,3,21.2%,8,49,3,18.2%,0,0,0,.0%
17,30,4,23.3%,6,13,4,18.2%,5,12,4,23.8%
17,41,1,18.1%,6,13,1,11.3%,3,2,1,17.6%
16,33,3,33.3%,10,23,3,31.3%,5,5,3,35.7%
16,43,2,22.9%,11,13,2,25.0%,6,1,1,28.6%
15,44,5,16.0%,11,20,5,20.8%,4,3,2,23.5%
15,40,1,20.5%,6,13,1,18.2%,3,2,1,14.3%
15,51,5,15.6%,10,34,5,17.9%,4,3,3,16.7%
14,38,1,21.2%,5,1,0,17.2%,3,-2,0,17.6%
14,49,4,14.6%,10,16,3,17.9%,4,9,3,16.7%
14,27,6,23.7%,10,10,6,30.3%,8,9,6,38.1%
14,20,2,20.3%,10,2,2,25.6%,4,-2,1,22.2%
13,51,2,22.0%,8,18,2,23.5%,4,3,1,20.0%
13,25,2,,4,3,1,,2,1,1,
13,21,2,17.8%,11,16,2,23.9%,8,6,2,36.4%
13,47,2,23.2%,7,3,2,21.2%,6,2,2,37.5%
13,26,3,13.4%,8,19,3,13.8%,4,2,2,15.4%
12,10,3,22.2%,8,8,3,30.8%,3,5,3,25.0%
12,16,0,25.0%,9,11,0,28.1%,5,3,0,35.7%
12,38,3,9.8%,7,28,3,10.3%,2,4,2,6.7%
12,56,2,16.9%,2,7,1,6.9%,1,1,1,5.9%
12,14,2,12.1%,7,4,2,12.5%,6,0,2,20.0%
12,46,1,12.5%,5,11,1,8.9%,3,5,1,12.5%
11,33,2,15.1%,4,12,2,12.1%,2,4,2,9.5%
11,28,1,11.3%,4,12,1,6.9%,1,1,1,3.8%
11,40,2,8.9%,8,27,2,11.8%,2,3,1,6.7%
11,31,4,19.6%,9,26,4,27.3%,4,7,3,25.0%
11,33,4,18.6%,6,11,3,24.0%,4,4,2,40.0%
10,25,1,27.8%,5,10,1,31.3%,2,3,1,20.0%
10,25,2,20.8%,7,17,2,21.9%,2,6,2,14.3%
10,18,1,10.4%,5,7,1,8.9%,2,-7,1,8.3%
10,30,0,12.0%,6,14,0,15.0%,4,3,0,16.0%
10,36,0,16.9%,1,0,0,3.0%,1,0,0,4.8%
10,16,2,10.6%,8,7,2,15.1%,2,2,2,11.8%
10,57,5,15.4%,7,44,5,17.1%,2,5,2,9.1%
9,33,1,9.3%,2,2,1,3.4%,1,1,1,3.8%
9,7,0,8.0%,2,1,0,3.1%,1,0,0,2.9%
9,38,4,14.5%,6,27,4,19.4%,1,2,1,8.3%
9,20,2,10.8%,2,2,1,5.0%,1,1,1,4.0%
9,33,1,14.5%,4,7,0,12.9%,1,-2,0,8.3%
8,23,0,9.1%,6,10,0,14.3%,2,3,0,8.7%
8,25,3,10.4%,5,13,2,11.6%,2,1,1,10.0%
8,21,1,9.6%,5,7,1,12.5%,3,1,1,12.0%
8,26,1,14.8%,3,-6,0,8.6%,3,-6,0,12.0%
7,13,1,9.9%,3,4,1,10.3%,3,4,1,17.6%
7,3,1,10.4%,4,-6,1,11.1%,2,1,1,11.8%
7,12,1,,5,7,1,,4,5,1,
7,27,0,10.4%,3,10,0,7.5%,1,0,0,4.5%
7,12,1,6.4%,3,7,1,5.0%,2,2,1,7.4%
7,13,0,11.9%,2,5,0,8.0%,0,0,0,.0%
7,20,2,10.8%,3,3,2,7.3%,2,2,2,9.1%
7,13,0,8.3%,3,-7,0,7.7%,2,3,0,13.3%
7,16,1,11.9%,6,10,1,17.6%,2,2,1,10.0%
6,14,1,8.6%,3,2,1,6.8%,3,2,1,14.3%
6,12,1,6.1%,4,10,1,7.1%,1,2,0,3.3%
6,24,2,8.2%,4,16,2,8.7%,1,4,1,4.5%
6,15,0,6.3%,1,1,0,1.8%,1,1,0,4.2%
6,10,0,6.8%,1,2,0,2.4%,1,2,0,4.3%
6,29,1,7.2%,1,3,1,2.5%,1,3,1,4.0%
5,11,0,7.5%,2,0,0,5.6%,0,0,0,.0%
5,7,0,8.9%,3,2,0,9.1%,2,0,0,12.5%
5,9,0,5.9%,3,9,0,6.8%,1,1,0,5.3%
5,34,2,7.6%,2,10,1,6.9%,0,0,0,.0%
5,9,0,8.5%,2,2,0,5.9%,2,2,0,10.0%
5,3,0,6.0%,2,-2,0,5.1%,0,0,0,.0%
5,3,0,9.3%,2,8,0,7.7%,0,0,0,.0%
5,16,2,6.5%,3,5,2,7.0%,2,0,1,10.0%
5,15,1,10.4%,2,3,1,6.3%,1,1,1,7.1%
5,9,1,5.2%,3,3,1,5.2%,1,-1,0,3.8%
5,13,0,7.2%,0,0,0,.0%,0,0,0,.0%
4,3,1,5.5%,4,3,1,12.1%,3,3,1,14.3%
4,1,1,6.5%,3,1,1,9.7%,3,1,1,25.0%
4,28,0,6.8%,1,-1,0,4.0%,1,-1,0,10.0%
4,11,3,6.0%,4,11,3,10.0%,3,5,2,13.6%
4,25,1,4.5%,1,4,1,2.4%,1,4,1,4.3%
4,4,0,4.8%,1,-1,0,2.6%,0,0,0,.0%
4,20,1,6.8%,1,1,0,4.0%,0,0,0,.0%
4,1,0,3.6%,1,4,0,1.7%,0,0,0,.0%
4,3,0,5.5%,1,-1,0,2.2%,0,0,0,.0%
3,10,0,3.5%,0,0,0,.0%,0,0,0,.0%
3,7,1,4.2%,1,1,1,3.4%,1,1,1,5.9%
3,-1,0,4.5%,1,-3,0,3.4%,1,-3,0,5.9%
3,-4,0,3.4%,3,-4,0,5.8%,0,0,0,.0%
3,14,2,3.1%,3,14,2,5.4%,1,1,1,4.2%
3,33,1,3.6%,0,0,0,.0%,0,0,0,.0%
3,19,2,4.3%,1,1,1,2.6%,1,1,1,5.6%
3,9,0,2.7%,3,9,0,4.6%,1,-2,0,2.9%
3,6,1,3.1%,3,6,1,5.4%,2,0,0,8.3%
3,6,0,5.6%,2,2,0,7.7%,1,0,0,8.3%
3,4,0,5.6%,0,0,0,.0%,0,0,0,.0%
3,11,0,3.6%,1,9,0,2.6%,0,0,0,.0%
3,0,1,4.8%,1,8,1,3.2%,0,0,0,.0%
3,2,1,4.5%,2,1,1,6.9%,2,1,1,11.8%
3,1,0,3.1%,1,-5,0,1.7%,0,0,0,.0%
3,17,0,3.4%,1,2,0,2.4%,0,0,0,.0%
3,17,0,4.8%,0,0,0,.0%,0,0,0,.0%
3,10,0,3.9%,0,0,0,.0%,0,0,0,.0%
3,9,0,2.3%,0,0,0,.0%,0,0,0,.0%
3,-2,0,3.9%,0,0,0,.0%,0,0,0,.0%
3,21,1,5.1%,1,3,1,2.9%,1,3,1,5.0%
3,27,1,5.1%,0,0,0,.0%,0,0,0,.0%
3,16,0,5.6%,1,1,0,3.8%,0,0,0,.0%
3,8,1,6.3%,3,8,1,9.4%,1,2,1,7.1%
2,8,0,3.1%,1,1,0,2.4%,0,0,0,.0%
2,2,0,3.1%,2,2,0,4.9%,1,0,0,4.5%
