"Player","Team","Pass Attempts"
"Joe Burrow ","CIN","629"
"Patrick Mahomes II ","KC","605"
"Dak Prescott ","DAL","601"
"Tua Tagovailoa ","MIA","576"
"Geno Smith ","LV","570"
"J.J. McCarthy ","MIN","564"
"Matthew Stafford ","LAR","564"
"Caleb Williams ","CHI","563"
"Bo Nix ","DEN","561"
"Baker Mayfield ","TB","559"
"Sam Darnold ","SEA","557"
"C.J. Stroud ","HOU","557"
"Jared Goff ","DET","555"
"Trevor Lawrence ","JAC","553"
"Bryce Young ","CAR","551"
"Kyler Murray ","ARI","544"
"Aaron Rodgers ","PIT","543"
"Michael Penix Jr. ","ATL","542"
"Jayden Daniels ","WAS","535"
"Justin Herbert ","LAC","535"
"Brock Purdy ","SF","525"
"Josh Allen ","BUF","522"
"Cameron Ward ","TEN","520"
"Drake Maye ","NE","520"
"Jordan Love ","GB","511"
"Justin Fields ","NYJ","506"
"Lamar Jackson ","BAL","481"
"Jalen Hurts ","PHI","461"
"Russell Wilson ","NYG","435"
"Tyler Shough ","NO","425"
"A. Richardson Sr. ","IND","355"
"Joe Flacco ","CLE","253"
"Kenny Pickett ","CLE","217"
"Daniel Jones ","IND","195"
"Dillon Gabriel ","CLE","172"
"Spencer Rattler ","NO","157"
"Shedeur Sanders ","CLE","133"
"Jaxson Dart ","NYG","120"
"Jameis Winston ","NYG","29"
"Mac Jones ","SF","26"
"Aidan O'Connell ","LV","25"
"Joshua Dobbs ","NE","24"
"Jimmy Garoppolo ","LAR","23"
"Zach Wilson ","MIA","23"
"Malik Willis ","GB","23"
"Marcus Mariota ","WAS","23"
"Gardner Minshew II ","KC","21"
"Jacoby Brissett ","ARI","21"
"Mason Rudolph ","PIT","20"
"Tyrod Taylor ","NYJ","19"
"Joe Milton III ","DAL","16"
"Jake Browning ","CIN","16"
"Davis Mills ","HOU","14"
"Jarrett Stidham ","DEN","14"
"Jalen Milroe ","SEA","14"
"Sam Howell ","MIN","14"
"Nick Mullens ","JAC","14"
"Drew Lock ","SEA","14"
"Andy Dalton ","CAR","14"
"Hendon Hooker ","DET","14"
