Player,Tm,Cmp,Att,Cmp%,Yds,TD,Int,Cmp,Att,Cmp%,Yds,TD,Int,-9999
Matthew Stafford,LAR,66,104,63.46,409,33,1,34,58,58.62,143,27,1,StafMa00
Jared Goff,DET,48,86,55.81,349,23,1,21,43,48.84,107,13,0,GoffJa00
Trevor Lawrence,JAX,45,81,55.56,281,22,4,23,40,57.50,123,17,3,LawrTr00
Dak Prescott,DAL,55,99,55.56,329,21,3,26,48,54.17,110,17,2,PresDa01
Drake Maye,NWE,47,72,65.28,325,20,3,20,38,52.63,86,14,2,MayeDr00
Justin Herbert,LAC,39,77,50.65,267,19,4,17,33,51.52,92,14,3,HerbJu00
Patrick Mahomes,KAN,41,76,53.95,261,18,3,26,50,52.00,112,15,2,MahoPa00
Jacoby Brissett,ARI,46,77,59.74,346,18,1,13,25,52.00,54,6,0,BrisJa00
Jordan Love,GNB,38,64,59.38,280,17,1,13,23,56.52,50,10,0,LoveJo03
Brock Purdy,SFO,32,55,58.18,204,16,1,16,31,51.61,74,13,1,PurdBr00
Jalen Hurts,PHI,35,49,71.43,225,16,2,15,20,75.00,69,13,0,HurtJa00
Josh Allen,BUF,39,61,63.93,235,15,3,21,30,70.00,78,9,1,AlleJo02
Geno Smith,LVR,35,55,63.64,215,15,2,18,24,75.00,99,13,0,SmitGe00
Sam Darnold,SEA,38,66,57.58,250,15,2,15,28,53.57,63,7,1,DarnSa00
Bo Nix,DEN,48,80,60.00,303,15,1,16,38,42.11,65,9,1,NixxBo00
Tua Tagovailoa,MIA,34,53,64.15,211,15,0,19,28,67.86,90,12,0,TagoTu00
Daniel Jones,IND,30,52,57.69,189,15,0,14,25,56.00,67,11,0,JoneDa05
Baker Mayfield,TAM,32,56,57.14,198,14,1,12,24,50.00,56,9,0,MayfBa00
Aaron Rodgers,PIT,44,74,59.46,293,14,1,15,37,40.54,57,6,1,RodgAa00
Bryce Young,CAR,37,65,56.92,232,14,2,16,23,69.57,69,12,1,YounBr01
Joe Burrow,CIN,21,41,51.22,165,14,2,10,22,45.45,60,9,2,BurrJo01
Caleb Williams,CHI,39,72,54.17,193,14,2,18,29,62.07,60,12,0,WillCa03
Cam Ward,TEN,34,49,69.39,160,12,1,18,25,72.00,61,11,0,WardCa00
C.J. Stroud,HOU,26,48,54.17,150,12,0,13,26,50.00,76,9,0,StroCJ00
