Player,Tm,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,Att,Yds,TD,%Rush,-9999
Christian McCaffrey,SFO,71,119,10,76.3%,37,62,9,80.4%,18,26,8,78.3%,McCaCh01
Jonathan Taylor,IND,70,204,14,69.3%,39,71,12,67.2%,19,19,9,61.3%,TaylJo02
Derrick Henry,BAL,62,152,10,62.0%,40,50,10,76.9%,24,22,10,85.7%,HenrDe00
James Cook,BUF,53,141,7,47.3%,26,56,6,40.6%,14,17,6,37.8%,CookJa01
Travis Etienne,JAX,53,148,5,48.2%,26,65,4,49.1%,11,16,2,40.7%,EtieTr00
Jahmyr Gibbs,DET,51,170,9,57.3%,22,47,7,44.9%,9,11,3,39.1%,GibbJa01
Javonte Williams,DAL,51,146,10,58.6%,28,43,10,57.1%,16,18,9,57.1%,WillJa10
Kyren Williams,LAR,51,144,10,58.6%,30,81,10,56.6%,18,22,8,62.1%,WillKy02
Zach Charbonnet,SEA,50,125,11,53.2%,31,57,10,64.6%,16,10,7,64.0%,CharZa00
Josh Jacobs,GNB,48,145,12,53.9%,30,74,10,66.7%,16,22,8,80.0%,JacoJo01
D'Andre Swift,CHI,40,134,8,41.7%,24,53,6,46.2%,10,18,5,45.5%,SwifDA00
Jaylen Warren,PIT,40,89,4,51.9%,22,32,4,47.8%,13,11,4,48.1%,WarrJa01
Saquon Barkley,PHI,39,79,5,47.6%,24,34,3,50.0%,9,-3,1,34.6%,BarkSa00
Kareem Hunt,KAN,38,89,8,45.8%,21,41,8,50.0%,13,13,7,72.2%,HuntKa00
Chase Brown,CIN,34,109,6,57.6%,18,36,5,56.3%,7,5,2,50.0%,BrowCh10
TreVeyon Henderson,NWE,34,84,5,38.2%,21,56,5,37.5%,6,6,1,26.1%,HendTr02
Kyle Monangai,CHI,33,84,5,34.4%,19,36,5,36.5%,10,10,4,45.5%,MonaKy00
David Montgomery,DET,33,64,6,37.1%,24,34,6,49.0%,14,5,5,60.9%,MontDa01
Chris Rodriguez,WAS,33,96,6,37.1%,22,52,6,41.5%,13,20,5,44.8%,RodrCh00
Woody Marks,HOU,32,61,2,43.8%,15,8,1,42.9%,9,4,1,39.1%,MarkWo00
Bijan Robinson,ATL,32,81,5,47.8%,17,27,4,42.5%,7,1,2,41.2%,RobiBi01
Josh Allen,BUF,31,73,13,27.7%,22,53,13,34.4%,13,16,9,35.1%,AlleJo02
Tyler Allgeier,ATL,31,71,7,46.3%,19,27,6,47.5%,7,6,4,41.2%,AllgTy00
Jacory Croskey-Merritt,WAS,31,110,7,34.8%,20,37,5,37.7%,8,0,2,27.6%,CrosJa00
Ashton Jeanty,LVR,31,39,3,75.6%,16,5,3,84.2%,9,3,3,90.0%,JeanAs00
Quinshon Judkins,CLE,31,57,6,55.4%,18,26,6,54.5%,10,6,5,47.6%,JudkQu00
Kenneth Walker,SEA,31,101,4,33.0%,10,7,3,20.8%,7,2,3,28.0%,WalkKe00
Rico Dowdle,CAR,30,74,6,47.6%,13,22,6,46.4%,6,7,4,66.7%,DowdRi01
De'Von Achane,MIA,29,81,3,43.9%,11,29,2,34.4%,3,6,1,23.1%,AchaDe00
Blake Corum,LAR,26,93,5,29.9%,16,24,4,30.2%,9,9,4,31.0%,CoruBl00
RJ Harvey,DEN,26,49,5,36.1%,14,25,5,40.0%,7,14,4,46.7%,HarvRJ00
