"Player","Team","Rushing Attempts"
"Jonathan Taylor ","IND","327"
"Derrick Henry ","BAL","314"
"Saquon Barkley ","PHI","296"
"Quinshon Judkins ","CLE","290"
"James Cook III ","BUF","288"
"Bijan Robinson ","ATL","285"
"Jahmyr Gibbs ","DET","275"
"Josh Jacobs ","GB","274"
"C. McCaffrey ","SF","270"
"Kenneth Walker III ","KC","263"
"Ashton Jeanty ","LV","260"
"Bucky Irving ","TB","257"
"Javonte Williams ","DAL","256"
"Travis Etienne Jr. ","NO","249"
"Breece Hall ","NYJ","249"
"Omarion Hampton ","LAC","244"
"Kyren Williams ","LAR","240"
"Bhayshul Tuten ","JAC","239"
"Chase Brown ","CIN","239"
"Cam Skattebo ","NYG","238"
"De'Von Achane ","MIA","238"
"Jeremiyah Love ","ARI","237"
"Tony Pollard ","TEN","236"
"D'Andre Swift ","CHI","233"
"David Montgomery ","HOU","232"
"J.K. Dobbins ","DEN","220"
"Jadarian Price ","SEA","216"
"Rico Dowdle ","PIT","200"
"Jordan Mason ","MIN","193"
"Kyle Monangai ","CHI","191"
"Jonathon Brooks ","CAR","188"
"Jaylen Warren ","PIT","188"
"TreVeyon Henderson ","NE","187"
"J. Croskey-Merritt ","WAS","185"
"Chuba Hubbard ","CAR","178"
"R. Stevenson ","NE","169"
"Blake Corum ","LAR","168"
"Aaron Jones Sr. ","MIN","150"
"Woody Marks ","HOU","143"
"Isiah Pacheco ","DET","139"
"Rachaad White ","WAS","137"
"C. Rodriguez Jr. ","JAC","136"
"Zach Charbonnet ","SEA","131"
"Jayden Daniels ","WAS","130"
"Brian Robinson Jr. ","ATL","127"
"M. Washington Jr. ","LV","126"
"Malik Willis ","MIA","125"
"AJ Dillon ","CAR","121"
"Alvin Kamara ","NO","119"
"Lamar Jackson ","BAL","119"
"Josh Allen ","BUF","118"
"Kaelon Black ","SF","114"
"Kenny Gainwell ","TB","114"
"Tyler Allgeier ","ARI","112"
"Braelon Allen ","NYJ","112"
"Jalen Hurts ","PHI","112"
"RJ Harvey ","DEN","108"
"Tank Bigsby ","PHI","105"
"Jaxson Dart ","NYG","101"
"Samaje Perine ","CIN","99"
""
""
